Date,Area,Animal Crimes,Arson & Explosives,Conspiracy & Miscellaneous,Drug-Related Crimes,Fraud Crimes,Other,Property Crimes,Public Disorder Crimes,Sexual Crimes,Theft Crimes,Violent Crimes,child_crimes,Total Crimes
2010-01-03,Los Angeles,1,2,0,0,10,59,71,32,110,770,250,121,1426
2010-01-03,San Fernando Valley,0,0,0,0,7,57,62,35,63,654,137,92,1107
2010-01-03,Santa Monica,0,0,0,0,0,2,4,2,8,49,18,2,85
2010-01-03,South Bay Cities,0,0,0,0,1,4,8,2,14,74,13,17,133
2010-01-03,South Gate-East Los Angeles,0,0,0,0,0,5,3,8,19,66,26,11,138
2010-01-10,Los Angeles,1,6,0,0,29,98,236,125,26,942,517,19,1999
2010-01-10,San Fernando Valley,2,2,1,0,27,62,154,87,19,747,271,10,1382
2010-01-10,Santa Monica,0,1,0,0,5,11,14,7,8,121,32,3,202
2010-01-10,South Bay Cities,0,1,0,0,1,9,20,17,0,81,39,0,168
2010-01-10,South Gate-East Los Angeles,2,0,0,0,3,5,25,15,2,73,85,3,213
2010-01-17,Los Angeles,2,10,1,0,26,121,194,108,33,959,595,29,2078
2010-01-17,San Fernando Valley,1,2,0,0,24,80,159,76,23,885,255,16,1521
2010-01-17,Santa Monica,0,0,0,0,3,14,22,6,2,130,32,1,210
2010-01-17,South Bay Cities,0,2,0,0,0,7,22,14,1,105,36,5,192
2010-01-17,South Gate-East Los Angeles,1,0,0,0,2,5,15,15,3,93,92,0,226
2010-01-24,Los Angeles,0,5,0,0,22,96,190,92,40,920,535,11,1911
2010-01-24,San Fernando Valley,1,2,0,0,23,51,146,46,14,765,259,12,1319
2010-01-24,Santa Monica,1,0,0,0,4,24,18,8,4,117,32,0,208
2010-01-24,South Bay Cities,0,1,0,0,2,9,14,14,2,111,36,3,192
2010-01-24,South Gate-East Los Angeles,0,0,0,0,2,5,13,6,1,80,62,3,172
2010-01-31,Los Angeles,1,5,0,1,30,91,204,101,45,918,609,22,2027
2010-01-31,San Fernando Valley,1,4,0,1,25,50,158,86,21,753,287,12,1398
2010-01-31,Santa Monica,0,1,0,0,1,20,21,9,3,130,43,2,230
2010-01-31,South Bay Cities,0,0,0,0,8,16,22,13,2,84,33,1,179
2010-01-31,South Gate-East Los Angeles,0,0,0,0,2,4,22,8,1,92,90,5,224
2010-02-07,Los Angeles,1,7,0,0,32,120,201,119,44,1011,613,34,2182
2010-02-07,San Fernando Valley,1,2,0,0,18,79,182,75,25,827,251,19,1479
2010-02-07,Santa Monica,0,0,0,0,3,20,30,10,5,124,42,2,236
2010-02-07,South Bay Cities,1,1,0,0,5,9,27,18,4,79,58,4,206
2010-02-07,South Gate-East Los Angeles,2,0,0,0,1,6,18,5,2,84,68,4,190
2010-02-14,Los Angeles,3,1,0,0,28,84,207,130,34,901,549,13,1950
2010-02-14,San Fernando Valley,3,6,0,0,27,65,177,72,21,777,271,11,1430
2010-02-14,Santa Monica,0,1,0,0,0,8,20,10,0,109,41,0,189
2010-02-14,South Bay Cities,0,0,0,0,1,6,18,14,0,83,39,1,162
2010-02-14,South Gate-East Los Angeles,0,0,0,0,2,9,18,8,1,63,73,3,177
2010-02-21,Los Angeles,1,7,0,0,28,94,214,106,33,870,627,16,1996
2010-02-21,San Fernando Valley,0,1,0,0,23,58,143,84,18,750,287,22,1386
2010-02-21,Santa Monica,0,0,0,0,1,11,27,9,2,102,31,0,183
2010-02-21,South Bay Cities,0,0,0,0,1,12,16,16,2,85,36,1,169
2010-02-21,South Gate-East Los Angeles,0,0,0,0,2,4,25,5,4,73,67,1,181
2010-02-28,Los Angeles,2,3,0,0,34,86,193,112,35,908,587,23,1983
2010-02-28,San Fernando Valley,3,4,0,0,20,75,163,71,23,739,279,14,1391
2010-02-28,Santa Monica,1,1,0,0,0,13,18,8,1,107,38,1,188
2010-02-28,South Bay Cities,0,0,0,0,0,6,19,15,1,113,38,0,192
2010-02-28,South Gate-East Los Angeles,0,0,0,0,1,7,23,8,2,71,66,2,180
2010-03-07,Los Angeles,2,4,0,0,36,122,212,115,44,938,537,32,2042
2010-03-07,San Fernando Valley,1,2,0,0,18,88,167,84,23,843,245,24,1495
2010-03-07,Santa Monica,0,0,0,0,3,21,27,8,3,120,36,1,219
2010-03-07,South Bay Cities,0,1,0,0,5,18,21,8,4,95,36,6,194
2010-03-07,South Gate-East Los Angeles,0,1,0,0,1,6,20,8,4,73,75,12,200
2010-03-14,Los Angeles,3,1,0,0,27,117,240,106,33,978,550,28,2083
2010-03-14,San Fernando Valley,2,4,0,0,27,62,182,88,20,735,261,17,1398
2010-03-14,Santa Monica,0,0,0,0,1,17,30,14,3,124,43,0,232
2010-03-14,South Bay Cities,0,1,0,0,2,7,31,10,0,98,39,6,194
2010-03-14,South Gate-East Los Angeles,0,0,0,0,0,4,25,9,0,82,69,6,195
2010-03-21,Los Angeles,1,5,0,0,38,104,236,140,36,872,618,20,2070
2010-03-21,San Fernando Valley,1,2,0,0,18,82,182,97,23,707,277,25,1414
2010-03-21,Santa Monica,0,2,0,0,1,16,31,13,7,105,36,1,212
2010-03-21,South Bay Cities,0,0,0,0,2,9,20,12,0,93,37,1,174
2010-03-21,South Gate-East Los Angeles,0,0,0,0,2,10,21,13,1,85,80,2,214
2010-03-28,Los Angeles,3,7,0,0,26,82,205,125,31,935,653,15,2082
2010-03-28,San Fernando Valley,3,0,0,0,14,51,172,89,27,685,262,16,1319
2010-03-28,Santa Monica,0,2,0,0,0,13,22,8,2,116,37,2,202
2010-03-28,South Bay Cities,0,0,0,0,2,3,22,12,5,108,47,5,204
2010-03-28,South Gate-East Los Angeles,0,2,0,0,5,6,24,19,5,93,86,1,241
2010-04-04,Los Angeles,2,3,0,0,32,108,202,119,53,995,601,36,2151
2010-04-04,San Fernando Valley,4,5,0,0,23,79,150,70,27,781,284,31,1454
2010-04-04,Santa Monica,0,0,0,0,4,16,24,8,1,129,48,2,232
2010-04-04,South Bay Cities,1,0,0,0,0,4,43,11,3,90,36,4,192
2010-04-04,South Gate-East Los Angeles,0,0,0,0,4,8,22,15,4,85,95,7,240
2010-04-11,Los Angeles,3,6,1,0,33,107,228,142,32,937,573,25,2087
2010-04-11,San Fernando Valley,0,4,0,0,23,68,149,88,20,700,246,20,1318
2010-04-11,Santa Monica,1,1,0,0,2,21,25,9,3,139,40,1,242
2010-04-11,South Bay Cities,1,0,0,0,1,9,20,12,1,91,40,1,176
2010-04-11,South Gate-East Los Angeles,0,1,0,0,3,12,36,12,4,70,85,6,229
2010-04-18,Los Angeles,5,0,0,0,39,79,240,115,43,961,614,18,2114
2010-04-18,San Fernando Valley,1,0,0,0,15,67,170,72,29,755,283,6,1398
2010-04-18,Santa Monica,0,1,0,0,6,28,35,5,1,125,25,0,226
2010-04-18,South Bay Cities,0,0,0,0,0,7,23,11,3,90,42,3,179
2010-04-18,South Gate-East Los Angeles,0,0,0,0,2,3,18,5,2,77,97,4,208
2010-04-25,Los Angeles,3,6,0,0,27,71,201,122,36,918,611,22,2017
2010-04-25,San Fernando Valley,3,5,0,0,26,70,150,73,28,756,296,13,1420
2010-04-25,Santa Monica,0,0,0,0,3,15,17,3,5,122,22,1,188
2010-04-25,South Bay Cities,0,0,0,0,3,9,25,13,3,94,49,6,202
2010-04-25,South Gate-East Los Angeles,1,1,1,0,1,7,26,14,2,86,93,2,234
2010-05-02,Los Angeles,2,6,0,0,28,129,219,128,43,990,609,34,2188
2010-05-02,San Fernando Valley,0,4,0,0,26,81,170,106,28,854,329,20,1618
2010-05-02,Santa Monica,0,0,0,0,1,17,11,9,0,99,27,0,164
2010-05-02,South Bay Cities,0,1,0,0,3,5,25,13,4,86,39,4,180
2010-05-02,South Gate-East Los Angeles,0,1,0,0,2,8,32,11,2,118,91,4,269
2010-05-09,Los Angeles,3,4,0,0,36,110,223,104,33,898,617,21,2049
2010-05-09,San Fernando Valley,2,3,0,0,22,53,142,76,16,705,325,17,1361
2010-05-09,Santa Monica,0,1,1,0,4,13,34,16,2,124,43,0,238
2010-05-09,South Bay Cities,0,0,0,0,5,5,26,8,3,67,45,0,159
2010-05-09,South Gate-East Los Angeles,0,0,0,0,4,5,14,17,0,77,83,3,203
2010-05-16,Los Angeles,1,8,0,0,18,112,213,116,35,879,642,20,2044
2010-05-16,San Fernando Valley,2,2,0,0,7,58,159,96,23,747,298,17,1409
2010-05-16,Santa Monica,0,3,0,0,4,16,16,10,3,124,34,1,211
