"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","64,259","31,608","32,651","2,559","3,767","5,196","6,126","3,431","5,357","7,727","12,320","5,283","3,918","4,563","2,826","1,186","43.0","48,940","45,683","10,892","8,575","48,940","23,779","25,161","8,575","4,348","4,227","","64,259","62,009","2,250","62,009","54,857","1,253","173","113","0","14","0","3,789","633","960","729","543","546","106","272","36","4","0","0","32","1,901","2,250","394","367","893","66","","64,259","56,900","1,764","670","4,792","88","2,326","","64,259","5,866","3,402","306","199","1,959","58,393","51,525","1,212","156","3,705","36","70","1,689","19","1,670","26,248"
"    Percent","","64,259","49.2%","50.8%","4.0%","5.9%","8.1%","9.5%","5.3%","8.3%","12.0%","19.2%","8.2%","6.1%","7.1%","4.4%","1.8%","(X)","76.2%","71.1%","17.0%","13.3%","48,940","48.6%","51.4%","8,575","50.7%","49.3%","","64,259","96.5%","3.5%","96.5%","85.4%","1.9%","0.3%","0.2%","0.0%","0.0%","0.0%","5.9%","1.0%","1.5%","1.1%","0.8%","0.8%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","3.0%","3.5%","0.6%","0.6%","1.4%","0.1%","","64,259","88.5%","2.7%","1.0%","7.5%","0.1%","3.6%","","64,259","9.1%","5.3%","0.5%","0.3%","3.0%","90.9%","80.2%","1.9%","0.2%","5.8%","0.1%","0.1%","2.6%","0.0%","2.6%","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","338,582","162,825","175,757","26,638","25,836","28,728","30,713","28,186","48,491","44,906","44,234","16,258","13,170","18,028","9,620","3,774","30.8","239,287","220,404","38,584","31,422","239,287","112,543","126,744","31,422","12,936","18,486","","338,582","323,698","14,884","323,698","121,417","79,678","1,497","48","55","69","70","31,011","714","1,611","23,641","1,719","1,520","553","1,253","4,002","286","132","3,032","552","86,093","14,884","1,966","2,136","1,587","1,877","","338,582","131,695","86,601","7,003","34,260","5,432","90,255","","338,582","202,349","173,205","1,586","515","27,043","136,233","15,379","78,292","380","30,618","3,906","690","6,968","554","6,414","91,343"
"    Percent","","338,582","48.1%","51.9%","7.9%","7.6%","8.5%","9.1%","8.3%","14.3%","13.3%","13.1%","4.8%","3.9%","5.3%","2.8%","1.1%","(X)","70.7%","65.1%","11.4%","9.3%","239,287","47.0%","53.0%","31,422","41.2%","58.8%","","338,582","95.6%","4.4%","95.6%","35.9%","23.5%","0.4%","0.0%","0.0%","0.0%","0.0%","9.2%","0.2%","0.5%","7.0%","0.5%","0.4%","0.2%","0.4%","1.2%","0.1%","0.0%","0.9%","0.2%","25.4%","4.4%","0.6%","0.6%","0.5%","0.6%","","338,582","38.9%","25.6%","2.1%","10.1%","1.6%","26.7%","","338,582","59.8%","51.2%","0.5%","0.2%","8.0%","40.2%","4.5%","23.1%","0.1%","9.0%","1.2%","0.2%","2.1%","0.2%","1.9%","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","413,287","204,885","208,402","27,172","30,047","33,764","36,229","30,169","56,497","60,860","54,341","22,693","19,179","23,980","12,805","5,551","33.8","299,117","279,852","53,625","42,336","299,117","144,958","154,159","42,336","17,925","24,411","","413,287","402,177","11,110","402,177","175,117","28,673","2,282","129","26","182","10","68,526","7,057","10,357","21,987","3,132","14,973","3,181","7,839","1,183","63","0","598","522","126,396","11,110","1,294","1,716","2,266","39","","413,287","183,860","31,427","4,367","72,428","1,685","131,140","","413,287","245,108","202,971","2,765","3,126","36,246","168,179","64,671","27,755","806","67,788","1,183","1,562","4,414","488","3,926","124,061"
"    Percent","","413,287","49.6%","50.4%","6.6%","7.3%","8.2%","8.8%","7.3%","13.7%","14.7%","13.1%","5.5%","4.6%","5.8%","3.1%","1.3%","(X)","72.4%","67.7%","13.0%","10.2%","299,117","48.5%","51.5%","42,336","42.3%","57.7%","","413,287","97.3%","2.7%","97.3%","42.4%","6.9%","0.6%","0.0%","0.0%","0.0%","0.0%","16.6%","1.7%","2.5%","5.3%","0.8%","3.6%","0.8%","1.9%","0.3%","0.0%","0.0%","0.1%","0.1%","30.6%","2.7%","0.3%","0.4%","0.5%","0.0%","","413,287","44.5%","7.6%","1.1%","17.5%","0.4%","31.7%","","413,287","59.3%","49.1%","0.7%","0.8%","8.8%","40.7%","15.6%","6.7%","0.2%","16.4%","0.3%","0.4%","1.1%","0.1%","0.9%","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
