"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","65,004","31,739","33,265","2,723","4,114","4,429","5,594","3,930","5,586","7,126","11,812","5,827","4,177","5,477","3,033","1,176","43.9","50,462","46,998","12,002","9,686","50,462","24,256","26,206","9,686","4,796","4,890","","65,004","62,324","2,680","62,324","55,439","882","126","0","7","16","6","4,021","969","1,190","725","383","354","119","281","65","6","0","24","35","1,791","2,680","513","435","1,023","75","","65,004","57,877","1,553","672","5,225","156","2,261","","65,004","6,401","3,849","180","169","2,203","58,603","51,511","882","86","3,974","65","67","2,018","25","1,993","26,791"
"    Percent","","65,004","48.8%","51.2%","4.2%","6.3%","6.8%","8.6%","6.0%","8.6%","11.0%","18.2%","9.0%","6.4%","8.4%","4.7%","1.8%","(X)","77.6%","72.3%","18.5%","14.9%","50,462","48.1%","51.9%","9,686","49.5%","50.5%","","65,004","95.9%","4.1%","95.9%","85.3%","1.4%","0.2%","0.0%","0.0%","0.0%","0.0%","6.2%","1.5%","1.8%","1.1%","0.6%","0.5%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.1%","2.8%","4.1%","0.8%","0.7%","1.6%","0.1%","","65,004","89.0%","2.4%","1.0%","8.0%","0.2%","3.5%","","65,004","9.8%","5.9%","0.3%","0.3%","3.4%","90.2%","79.2%","1.4%","0.1%","6.1%","0.1%","0.1%","3.1%","0.0%","3.1%","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","341,122","164,586","176,536","27,108","26,058","27,864","29,656","28,723","47,744","44,774","44,458","16,586","13,944","19,649","10,829","3,729","31.3","242,751","224,064","42,158","34,207","242,751","114,905","127,846","34,207","14,287","19,920","","341,122","323,524","17,598","323,524","118,793","76,714","1,860","142","0","94","63","31,750","530","1,456","23,766","1,320","1,547","1,050","2,081","3,155","167","239","2,326","423","91,252","17,598","1,692","3,663","1,673","2,025","","341,122","131,760","84,851","10,265","35,644","4,243","95,454","","341,122","207,985","179,015","1,684","678","26,608","133,137","14,498","75,293","519","31,231","3,062","762","7,772","334","7,438","91,442"
"    Percent","","341,122","48.2%","51.8%","7.9%","7.6%","8.2%","8.7%","8.4%","14.0%","13.1%","13.0%","4.9%","4.1%","5.8%","3.2%","1.1%","(X)","71.2%","65.7%","12.4%","10.0%","242,751","47.3%","52.7%","34,207","41.8%","58.2%","","341,122","94.8%","5.2%","94.8%","34.8%","22.5%","0.5%","0.0%","0.0%","0.0%","0.0%","9.3%","0.2%","0.4%","7.0%","0.4%","0.5%","0.3%","0.6%","0.9%","0.0%","0.1%","0.7%","0.1%","26.8%","5.2%","0.5%","1.1%","0.5%","0.6%","","341,122","38.6%","24.9%","3.0%","10.4%","1.2%","28.0%","","341,122","61.0%","52.5%","0.5%","0.2%","7.8%","39.0%","4.3%","22.1%","0.2%","9.2%","0.9%","0.2%","2.3%","0.1%","2.2%","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","416,053","205,541","210,512","27,530","28,854","32,481","34,660","33,457","56,924","60,459","54,482","23,345","19,600","25,653","12,547","6,061","34.0","305,526","285,374","56,207","44,261","305,526","147,952","157,574","44,261","18,753","25,508","","416,053","404,072","11,981","404,072","189,632","30,252","2,278","87","5","137","21","66,934","7,473","10,242","22,179","2,846","14,365","2,579","7,250","1,193","131","256","450","356","113,783","11,981","1,330","1,708","2,317","143","","416,053","199,090","32,956","4,627","71,057","1,827","119,209","","416,053","251,362","210,501","2,083","2,997","35,781","164,691","61,300","29,162","826","66,351","1,149","986","4,917","644","4,273","121,717"
"    Percent","","416,053","49.4%","50.6%","6.6%","6.9%","7.8%","8.3%","8.0%","13.7%","14.5%","13.1%","5.6%","4.7%","6.2%","3.0%","1.5%","(X)","73.4%","68.6%","13.5%","10.6%","305,526","48.4%","51.6%","44,261","42.4%","57.6%","","416,053","97.1%","2.9%","97.1%","45.6%","7.3%","0.5%","0.0%","0.0%","0.0%","0.0%","16.1%","1.8%","2.5%","5.3%","0.7%","3.5%","0.6%","1.7%","0.3%","0.0%","0.1%","0.1%","0.1%","27.3%","2.9%","0.3%","0.4%","0.6%","0.0%","","416,053","47.9%","7.9%","1.1%","17.1%","0.4%","28.7%","","416,053","60.4%","50.6%","0.5%","0.7%","8.6%","39.6%","14.7%","7.0%","0.2%","15.9%","0.3%","0.2%","1.2%","0.2%","1.0%","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
