"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","65,174","31,689","33,485","2,545","3,292","4,436","5,670","4,022","5,213","6,968","11,840","5,812","4,393","6,931","2,839","1,213","45.3","51,804","48,130","13,505","10,983","51,804","24,936","26,868","10,983","5,170","5,813","","65,174","62,629","2,545","62,629","55,372","1,263","131","0","6","0","7","4,578","927","1,437","707","462","498","168","379","32","0","7","25","0","1,253","2,545","299","329","1,028","31","","65,174","57,496","1,853","770","5,975","116","1,787","","65,174","6,567","4,110","218","154","2,085","58,607","50,666","1,203","104","4,519","32","135","1,948","189","1,759","27,376","","48,201","23,434","24,767"
"    Percent","","65,174","48.6%","51.4%","3.9%","5.1%","6.8%","8.7%","6.2%","8.0%","10.7%","18.2%","8.9%","6.7%","10.6%","4.4%","1.9%","(X)","79.5%","73.8%","20.7%","16.9%","51,804","48.1%","51.9%","10,983","47.1%","52.9%","","65,174","96.1%","3.9%","96.1%","85.0%","1.9%","0.2%","0.0%","0.0%","0.0%","0.0%","7.0%","1.4%","2.2%","1.1%","0.7%","0.8%","0.3%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","3.9%","0.5%","0.5%","1.6%","0.0%","","65,174","88.2%","2.8%","1.2%","9.2%","0.2%","2.7%","","65,174","10.1%","6.3%","0.3%","0.2%","3.2%","89.9%","77.7%","1.8%","0.2%","6.9%","0.0%","0.2%","3.0%","0.3%","2.7%","(X)","","48,201","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","350,122","170,611","179,511","25,872","26,153","25,905","28,965","28,791","51,796","44,581","46,036","19,567","14,820","20,810","12,424","4,402","32.3","254,644","237,230","45,912","37,636","254,644","120,904","133,740","37,636","15,428","22,208","","350,122","337,490","12,632","337,490","135,432","78,820","1,982","157","0","45","2","33,359","492","1,256","24,410","1,651","2,180","963","2,407","2,729","186","181","1,969","393","85,168","12,632","1,344","2,448","1,398","1,155","","350,122","144,391","83,966","7,115","36,803","3,790","88,711","","350,122","216,118","183,762","1,492","644","30,220","134,004","14,806","77,338","572","32,756","2,658","594","5,280","274","5,006","91,587","","192,209","89,894","102,315"
"    Percent","","350,122","48.7%","51.3%","7.4%","7.5%","7.4%","8.3%","8.2%","14.8%","12.7%","13.1%","5.6%","4.2%","5.9%","3.5%","1.3%","(X)","72.7%","67.8%","13.1%","10.7%","254,644","47.5%","52.5%","37,636","41.0%","59.0%","","350,122","96.4%","3.6%","96.4%","38.7%","22.5%","0.6%","0.0%","0.0%","0.0%","0.0%","9.5%","0.1%","0.4%","7.0%","0.5%","0.6%","0.3%","0.7%","0.8%","0.1%","0.1%","0.6%","0.1%","24.3%","3.6%","0.4%","0.7%","0.4%","0.3%","","350,122","41.2%","24.0%","2.0%","10.5%","1.1%","25.3%","","350,122","61.7%","52.5%","0.4%","0.2%","8.6%","38.3%","4.2%","22.1%","0.2%","9.4%","0.8%","0.2%","1.5%","0.1%","1.4%","(X)","","192,209","46.8%","53.2%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","419,579","205,499","214,080","27,043","26,989","31,496","32,087","33,669","57,777","58,866","55,860","25,890","19,933","29,091","14,362","6,516","35.1","314,311","295,099","61,865","49,969","314,311","151,782","162,529","49,969","21,511","28,458","","419,579","406,204","13,375","406,204","208,981","29,271","1,935","89","0","24","140","70,523","7,587","11,521","24,574","2,355","13,982","3,088","7,416","1,157","69","372","650","66","94,337","13,375","1,457","1,263","1,979","275","","419,579","218,457","32,505","4,117","75,363","2,005","101,161","","419,579","258,737","216,119","1,717","2,098","38,803","160,842","55,174","27,905","862","69,580","1,093","1,038","5,190","814","4,376","123,317","","250,767","120,757","130,010"
"    Percent","","419,579","49.0%","51.0%","6.4%","6.4%","7.5%","7.6%","8.0%","13.8%","14.0%","13.3%","6.2%","4.8%","6.9%","3.4%","1.6%","(X)","74.9%","70.3%","14.7%","11.9%","314,311","48.3%","51.7%","49,969","43.0%","57.0%","","419,579","96.8%","3.2%","96.8%","49.8%","7.0%","0.5%","0.0%","0.0%","0.0%","0.0%","16.8%","1.8%","2.7%","5.9%","0.6%","3.3%","0.7%","1.8%","0.3%","0.0%","0.1%","0.2%","0.0%","22.5%","3.2%","0.3%","0.3%","0.5%","0.1%","","419,579","52.1%","7.7%","1.0%","18.0%","0.5%","24.1%","","419,579","61.7%","51.5%","0.4%","0.5%","9.2%","38.3%","13.1%","6.7%","0.2%","16.6%","0.3%","0.2%","1.2%","0.2%","1.0%","(X)","","250,767","48.2%","51.8%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","956,645","471,305","485,340","56,730","57,576","62,440","73,831","80,317","133,874","120,044","128,920","62,191","55,435","71,902","37,125","16,260","36.0","738,396","688,515","156,689","125,287","738,396","359,218","379,178","125,287","54,608","70,679","","956,645","920,349","36,296","920,349","444,447","31,851","7,410","320","87","305","40","205,729","6,797","100,036","46,172","6,118","15,481","13,972","17,153","2,146","438","215","999","494","228,766","36,296","3,717","4,254","7,803","658","","956,645","472,285","38,926","14,527","220,346","4,891","244,595","","956,645","522,961","450,955","5,350","3,553","63,103","433,684","179,110","29,683","2,611","203,055","1,917","1,990","15,318","1,491","13,827","277,297","","606,401","294,156","312,245"
"    Percent","","956,645","49.3%","50.7%","5.9%","6.0%","6.5%","7.7%","8.4%","14.0%","12.5%","13.5%","6.5%","5.8%","7.5%","3.9%","1.7%","(X)","77.2%","72.0%","16.4%","13.1%","738,396","48.6%","51.4%","125,287","43.6%","56.4%","","956,645","96.2%","3.8%","96.2%","46.5%","3.3%","0.8%","0.0%","0.0%","0.0%","0.0%","21.5%","0.7%","10.5%","4.8%","0.6%","1.6%","1.5%","1.8%","0.2%","0.0%","0.0%","0.1%","0.1%","23.9%","3.8%","0.4%","0.4%","0.8%","0.1%","","956,645","49.4%","4.1%","1.5%","23.0%","0.5%","25.6%","","956,645","54.7%","47.1%","0.6%","0.4%","6.6%","45.3%","18.7%","3.1%","0.3%","21.2%","0.2%","0.2%","1.6%","0.2%","1.4%","(X)","","606,401","48.5%","51.5%"
