"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","65,601","32,036","33,565","95.4","2,205","3,520","3,952","5,363","4,400","5,608","7,169","10,412","5,418","5,053","7,584","3,356","1,561","45.5","12,441","55,056","53,160","49,492","15,578","12,501","53,160","25,698","27,462","93.6","12,501","6,031","6,470","93.2","","65,601","62,795","2,806","62,795","55,116","1,515","227","53","0","0","6","4,663","1,052","1,727","471","414","376","197","426","36","9","0","27","0","1,238","2,806","188","298","1,576","35","","65,601","57,604","1,984","835","6,621","218","1,568","","65,601","6,810","3,719","203","285","2,603","58,791","49,975","1,440","162","4,659","36","99","2,420","102","2,318","27,563","","49,706","24,324","25,382"
"    Percent","","65,601","48.8%","51.2%","(X)","3.4%","5.4%","6.0%","8.2%","6.7%","8.5%","10.9%","15.9%","8.3%","7.7%","11.6%","5.1%","2.4%","(X)","19.0%","83.9%","81.0%","75.4%","23.7%","19.1%","53,160","48.3%","51.7%","(X)","12,501","48.2%","51.8%","(X)","","65,601","95.7%","4.3%","95.7%","84.0%","2.3%","0.3%","0.1%","0.0%","0.0%","0.0%","7.1%","1.6%","2.6%","0.7%","0.6%","0.6%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","1.9%","4.3%","0.3%","0.5%","2.4%","0.1%","","65,601","87.8%","3.0%","1.3%","10.1%","0.3%","2.4%","","65,601","10.4%","5.7%","0.3%","0.4%","4.0%","89.6%","76.2%","2.2%","0.2%","7.1%","0.1%","0.2%","3.7%","0.2%","3.5%","(X)","","49,706","48.9%","51.1%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","348,802","170,535","178,267","95.7","24,444","24,127","25,819","24,942","27,749","54,178","43,461","43,957","20,410","18,088","23,730","12,789","5,108","33.6","89,405","269,464","259,397","243,730","51,520","41,627","259,397","124,224","135,173","91.9","41,627","17,378","24,249","71.7","","348,802","339,106","9,696","339,106","133,338","75,208","2,103","96","46","61","8","34,506","824","1,808","25,303","1,339","2,878","890","1,464","2,951","116","426","2,152","257","91,000","9,696","2,087","618","943","798","","348,802","139,788","79,882","4,200","37,112","4,020","94,344","","348,802","216,564","182,222","1,143","338","32,861","132,238","14,433","74,057","785","33,926","2,884","1,016","5,137","326","4,811","91,060","","200,038","93,889","106,149"
"    Percent","","348,802","48.9%","51.1%","(X)","7.0%","6.9%","7.4%","7.2%","8.0%","15.5%","12.5%","12.6%","5.9%","5.2%","6.8%","3.7%","1.5%","(X)","25.6%","77.3%","74.4%","69.9%","14.8%","11.9%","259,397","47.9%","52.1%","(X)","41,627","41.7%","58.3%","(X)","","348,802","97.2%","2.8%","97.2%","38.2%","21.6%","0.6%","0.0%","0.0%","0.0%","0.0%","9.9%","0.2%","0.5%","7.3%","0.4%","0.8%","0.3%","0.4%","0.8%","0.0%","0.1%","0.6%","0.1%","26.1%","2.8%","0.6%","0.2%","0.3%","0.2%","","348,802","40.1%","22.9%","1.2%","10.6%","1.2%","27.0%","","348,802","62.1%","52.2%","0.3%","0.1%","9.4%","37.9%","4.1%","21.2%","0.2%","9.7%","0.8%","0.3%","1.5%","0.1%","1.4%","(X)","","200,038","46.9%","53.1%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","416,789","205,393","211,396","97.2","26,361","25,623","30,498","29,223","30,374","61,424","56,630","55,163","25,225","22,757","31,427","15,313","6,771","35.8","100,257","328,682","316,532","299,091","66,923","53,511","316,532","153,229","163,303","93.8","53,511","23,175","30,336","76.4","","416,789","402,171","14,618","402,171","172,955","29,211","1,792","84","12","27","18","69,469","8,527","9,869","25,010","2,125","12,413","3,361","8,164","2,017","263","453","988","313","126,727","14,618","1,670","1,378","2,822","126","","416,789","183,432","32,932","4,172","75,590","3,301","133,113","","416,789","258,434","213,903","1,732","2,876","39,923","158,355","51,432","28,281","632","68,641","1,913","1,008","6,448","796","5,652","123,180","","259,956","125,723","134,233"
"    Percent","","416,789","49.3%","50.7%","(X)","6.3%","6.1%","7.3%","7.0%","7.3%","14.7%","13.6%","13.2%","6.1%","5.5%","7.5%","3.7%","1.6%","(X)","24.1%","78.9%","75.9%","71.8%","16.1%","12.8%","316,532","48.4%","51.6%","(X)","53,511","43.3%","56.7%","(X)","","416,789","96.5%","3.5%","96.5%","41.5%","7.0%","0.4%","0.0%","0.0%","0.0%","0.0%","16.7%","2.0%","2.4%","6.0%","0.5%","3.0%","0.8%","2.0%","0.5%","0.1%","0.1%","0.2%","0.1%","30.4%","3.5%","0.4%","0.3%","0.7%","0.0%","","416,789","44.0%","7.9%","1.0%","18.1%","0.8%","31.9%","","416,789","62.0%","51.3%","0.4%","0.7%","9.6%","38.0%","12.3%","6.8%","0.2%","16.5%","0.5%","0.2%","1.5%","0.2%","1.4%","(X)","","259,956","48.4%","51.6%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
