"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","61,443","30,561","30,882","99.0","2,121","3,013","4,035","5,364","3,821","5,348","7,010","8,861","4,935","5,089","7,360","3,034","1,452","45.0","12,295","51,281","49,148","45,797","14,836","11,846","49,148","23,789","25,359","93.8","11,846","5,800","6,046","95.9","","61,443","56,566","4,877","56,566","47,740","1,101","104","67","0","0","3","4,407","730","1,664","304","354","427","578","350","70","11","0","27","32","3,144","4,877","626","847","1,812","18","","61,443","52,417","1,897","1,076","6,575","372","4,352","","61,443","7,994","4,487","216","265","3,026","53,449","43,813","998","76","4,396","70","587","3,509","195","3,314","26,142","","46,629","22,641","23,988"
"    Percent","","61,443","49.7%","50.3%","(X)","3.5%","4.9%","6.6%","8.7%","6.2%","8.7%","11.4%","14.4%","8.0%","8.3%","12.0%","4.9%","2.4%","(X)","20.0%","83.5%","80.0%","74.5%","24.1%","19.3%","49,148","48.4%","51.6%","(X)","11,846","49.0%","51.0%","(X)","","61,443","92.1%","7.9%","92.1%","77.7%","1.8%","0.2%","0.1%","0.0%","0.0%","0.0%","7.2%","1.2%","2.7%","0.5%","0.6%","0.7%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.1%","5.1%","7.9%","1.0%","1.4%","2.9%","0.0%","","61,443","85.3%","3.1%","1.8%","10.7%","0.6%","7.1%","","61,443","13.0%","7.3%","0.4%","0.4%","4.9%","87.0%","71.3%","1.6%","0.1%","7.2%","0.1%","1.0%","5.7%","0.3%","5.4%","(X)","","46,629","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","344,985","169,397","175,588","96.5","22,485","23,226","25,789","23,622","24,312","52,512","46,012","42,583","21,441","21,287","24,464","12,469","4,783","35.1","85,955","268,847","259,030","245,044","53,681","41,716","259,030","125,295","133,735","93.7","41,716","18,436","23,280","79.2","","344,985","302,584","42,401","302,584","92,191","71,221","2,667","0","38","45","7","36,227","614","1,808","26,831","977","2,838","738","2,421","1,776","113","464","1,123","76","98,502","42,401","1,791","677","1,350","1,019","","344,985","130,428","77,045","6,047","40,197","2,620","133,459","","344,985","215,142","179,222","704","365","34,851","129,843","13,385","70,416","349","35,475","1,714","1,707","6,797","563","6,234","93,883","","202,723","96,631","106,092"
"    Percent","","344,985","49.1%","50.9%","(X)","6.5%","6.7%","7.5%","6.8%","7.0%","15.2%","13.3%","12.3%","6.2%","6.2%","7.1%","3.6%","1.4%","(X)","24.9%","77.9%","75.1%","71.0%","15.6%","12.1%","259,030","48.4%","51.6%","(X)","41,716","44.2%","55.8%","(X)","","344,985","87.7%","12.3%","87.7%","26.7%","20.6%","0.8%","0.0%","0.0%","0.0%","0.0%","10.5%","0.2%","0.5%","7.8%","0.3%","0.8%","0.2%","0.7%","0.5%","0.0%","0.1%","0.3%","0.0%","28.6%","12.3%","0.5%","0.2%","0.4%","0.3%","","344,985","37.8%","22.3%","1.8%","11.7%","0.8%","38.7%","","344,985","62.4%","52.0%","0.2%","0.1%","10.1%","37.6%","3.9%","20.4%","0.1%","10.3%","0.5%","0.5%","2.0%","0.2%","1.8%","(X)","","202,723","47.7%","52.3%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","417,114","206,543","210,571","98.1","25,413","25,996","29,897","27,716","27,427","65,418","55,011","55,433","23,967","23,432","34,752","15,221","7,431","35.9","98,608","330,339","318,506","302,215","71,309","57,404","318,506","156,361","162,145","96.4","57,404","25,322","32,082","78.9","","417,114","370,543","46,571","370,543","133,907","28,632","4,361","26","12","78","27","68,313","8,939","9,202","25,550","2,405","10,822","3,017","8,378","2,644","215","682","1,287","460","132,686","46,571","1,556","2,162","3,600","102","","417,114","175,102","32,650","8,669","75,754","4,631","169,304","","417,114","260,437","214,236","2,015","3,046","41,140","156,677","49,357","27,704","377","67,036","2,471","1,370","8,362","1,384","6,978","123,552","","264,697","130,122","134,575"
"    Percent","","417,114","49.5%","50.5%","(X)","6.1%","6.2%","7.2%","6.6%","6.6%","15.7%","13.2%","13.3%","5.7%","5.6%","8.3%","3.6%","1.8%","(X)","23.6%","79.2%","76.4%","72.5%","17.1%","13.8%","318,506","49.1%","50.9%","(X)","57,404","44.1%","55.9%","(X)","","417,114","88.8%","11.2%","88.8%","32.1%","6.9%","1.0%","0.0%","0.0%","0.0%","0.0%","16.4%","2.1%","2.2%","6.1%","0.6%","2.6%","0.7%","2.0%","0.6%","0.1%","0.2%","0.3%","0.1%","31.8%","11.2%","0.4%","0.5%","0.9%","0.0%","","417,114","42.0%","7.8%","2.1%","18.2%","1.1%","40.6%","","417,114","62.4%","51.4%","0.5%","0.7%","9.9%","37.6%","11.8%","6.6%","0.1%","16.1%","0.6%","0.3%","2.0%","0.3%","1.7%","(X)","","264,697","49.2%","50.8%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
