"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or More Races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races","RACE!!Total population!!Two or More Races!!White and Black or African American","RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!White and Asian","RACE!!Total population!!Two or More Races!!White and Some Other Race","RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some Other Race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","60,514","30,026","30,488","98.5","2,073","3,244","3,966","5,167","3,765","5,038","6,719","8,134","4,860","5,337","7,537","3,257","1,417","45.4","12,263","50,337","48,251","44,907","15,201","12,211","48,251","23,259","24,992","93.1","12,211","6,071","6,140","98.9","","60,514","54,722","5,792","54,722","45,088","1,008","74","32","0","0","5","4,766","845","1,783","323","292","646","600","277","57","0","7","23","27","3,729","5,792","561","897","2,023","1,754","4","0","","60,514","50,631","1,745","1,231","7,131","318","5,716","","60,514","7,687","4,436","291","190","2,770","52,827","42,370","937","74","4,722","57","801","3,866","331","3,535","25,569","","45,522","22,120","23,402"
"    Percent","","60,514","49.6%","50.4%","(X)","3.4%","5.4%","6.6%","8.5%","6.2%","8.3%","11.1%","13.4%","8.0%","8.8%","12.5%","5.4%","2.3%","(X)","20.3%","83.2%","79.7%","74.2%","25.1%","20.2%","48,251","48.2%","51.8%","(X)","12,211","49.7%","50.3%","(X)","","60,514","90.4%","9.6%","90.4%","74.5%","1.7%","0.1%","0.1%","0.0%","0.0%","0.0%","7.9%","1.4%","2.9%","0.5%","0.5%","1.1%","1.0%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","6.2%","9.6%","0.9%","1.5%","3.3%","2.9%","0.0%","0.0%","","60,514","83.7%","2.9%","2.0%","11.8%","0.5%","9.4%","","60,514","12.7%","7.3%","0.5%","0.3%","4.6%","87.3%","70.0%","1.5%","0.1%","7.8%","0.1%","1.3%","6.4%","0.5%","5.8%","(X)","","45,522","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","341,222","168,453","172,769","97.5","21,105","21,967","25,106","23,508","23,735","52,121","45,656","41,287","21,087","21,758","26,067","12,460","5,365","35.6","82,223","268,750","258,999","245,062","55,918","43,892","258,999","126,714","132,285","95.8","43,892","19,107","24,785","77.1","","341,222","281,005","60,217","281,005","76,802","69,487","3,153","0","36","43","7","34,946","694","1,895","25,079","1,015","2,931","678","2,654","2,179","409","83","1,558","129","94,438","60,217","1,633","671","1,643","48,616","934","1,003","","341,222","132,916","75,742","7,473","39,442","2,996","146,803","","341,222","214,465","178,545","894","466","34,560","126,757","12,717","68,737","230","34,321","2,083","1,706","6,963","434","6,529","94,594","","204,078","98,413","105,665"
"    Percent","","341,222","49.4%","50.6%","(X)","6.2%","6.4%","7.4%","6.9%","7.0%","15.3%","13.4%","12.1%","6.2%","6.4%","7.6%","3.7%","1.6%","(X)","24.1%","78.8%","75.9%","71.8%","16.4%","12.9%","258,999","48.9%","51.1%","(X)","43,892","43.5%","56.5%","(X)","","341,222","82.4%","17.6%","82.4%","22.5%","20.4%","0.9%","0.0%","0.0%","0.0%","0.0%","10.2%","0.2%","0.6%","7.3%","0.3%","0.9%","0.2%","0.8%","0.6%","0.1%","0.0%","0.5%","0.0%","27.7%","17.6%","0.5%","0.2%","0.5%","14.2%","0.3%","0.3%","","341,222","39.0%","22.2%","2.2%","11.6%","0.9%","43.0%","","341,222","62.9%","52.3%","0.3%","0.1%","10.1%","37.1%","3.7%","20.1%","0.1%","10.1%","0.6%","0.5%","2.0%","0.1%","1.9%","(X)","","204,078","48.2%","51.8%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","412,219","203,558","208,661","97.6","23,580","25,302","27,954","27,971","27,597","64,261","53,954","55,200","24,122","24,170","34,619","16,072","7,417","36.5","93,897","329,897","318,322","301,431","72,485","58,108","318,322","156,229","162,093","96.4","58,108","25,342","32,766","77.3","","412,219","349,385","62,834","349,385","111,484","28,150","5,424","18","15","76","27","69,620","8,757","9,252","24,954","2,428","11,047","3,326","9,856","2,060","554","87","892","527","132,647","62,834","1,114","2,206","3,186","47,502","337","1,407","","412,219","168,471","32,130","10,663","76,436","3,905","186,369","","412,219","257,816","212,970","2,075","3,010","39,761","154,403","47,407","26,993","419","68,412","1,826","1,671","7,675","1,256","6,419","123,877","","265,952","130,421","135,531"
"    Percent","","412,219","49.4%","50.6%","(X)","5.7%","6.1%","6.8%","6.8%","6.7%","15.6%","13.1%","13.4%","5.9%","5.9%","8.4%","3.9%","1.8%","(X)","22.8%","80.0%","77.2%","73.1%","17.6%","14.1%","318,322","49.1%","50.9%","(X)","58,108","43.6%","56.4%","(X)","","412,219","84.8%","15.2%","84.8%","27.0%","6.8%","1.3%","0.0%","0.0%","0.0%","0.0%","16.9%","2.1%","2.2%","6.1%","0.6%","2.7%","0.8%","2.4%","0.5%","0.1%","0.0%","0.2%","0.1%","32.2%","15.2%","0.3%","0.5%","0.8%","11.5%","0.1%","0.3%","","412,219","40.9%","7.8%","2.6%","18.5%","0.9%","45.2%","","412,219","62.5%","51.7%","0.5%","0.7%","9.6%","37.5%","11.5%","6.5%","0.1%","16.6%","0.4%","0.4%","1.9%","0.3%","1.6%","(X)","","265,952","49.0%","51.0%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
