"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or More Races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec","RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya","RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation","RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community","RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races","RACE!!Total population!!Two or More Races!!White and Black or African American","RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!White and Asian","RACE!!Total population!!Two or More Races!!White and Some Other Race","RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some Other Race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","59,576","29,250","30,326","96.5","2,081","3,367","3,577","5,231","3,762","4,822","6,295","7,945","5,025","5,113","7,281","3,702","1,375","45.8","11,935","49,830","47,641","44,210","15,347","12,358","47,641","22,818","24,823","91.9","12,358","6,110","6,248","97.8","","59,576","53,524","6,052","53,524","44,051","786","56","0","0","0","0","0","0","56","4,604","526","1,631","286","342","871","682","266","23","0","0","0","23","4,004","6,052","532","763","1,927","2,251","4","0","","59,576","49,884","1,444","1,071","6,883","294","6,504","","59,576","7,299","4,373","235","157","2,534","52,277","42,059","734","49","4,575","23","917","3,920","660","3,260","25,249","","45,135","21,917","23,218"
"    Percent","","59,576","49.1%","50.9%","(X)","3.5%","5.7%","6.0%","8.8%","6.3%","8.1%","10.6%","13.3%","8.4%","8.6%","12.2%","6.2%","2.3%","(X)","20.0%","83.6%","80.0%","74.2%","25.8%","20.7%","47,641","47.9%","52.1%","(X)","12,358","49.4%","50.6%","(X)","","59,576","89.8%","10.2%","89.8%","73.9%","1.3%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1%","7.7%","0.9%","2.7%","0.5%","0.6%","1.5%","1.1%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","6.7%","10.2%","0.9%","1.3%","3.2%","3.8%","0.0%","0.0%","","59,576","83.7%","2.4%","1.8%","11.6%","0.5%","10.9%","","59,576","12.3%","7.3%","0.4%","0.3%","4.3%","87.7%","70.6%","1.2%","0.1%","7.7%","0.0%","1.5%","6.6%","1.1%","5.5%","(X)","","45,135","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","336,472","165,087","171,385","96.3","19,675","21,418","25,415","22,655","22,666","50,298","45,995","41,694","20,982","21,564","27,018","11,888","5,204","36.1","80,640","265,638","255,832","243,033","56,475","44,110","255,832","123,969","131,863","94.0","44,110","19,369","24,741","78.3","","336,472","265,179","71,293","265,179","58,027","67,892","4,875","2,329","0","777","0","0","0","1,769","35,402","873","1,975","25,254","983","3,010","523","2,784","1,620","266","80","1,089","185","97,363","71,293","1,596","699","1,754","58,352","569","1,187","","336,472","124,697","73,916","9,778","40,264","2,537","161,106","","336,472","211,692","177,022","899","584","33,187","124,780","12,271","67,109","129","34,839","1,539","1,991","6,902","603","6,299","94,686","","201,537","96,160","105,377"
"    Percent","","336,472","49.1%","50.9%","(X)","5.8%","6.4%","7.6%","6.7%","6.7%","14.9%","13.7%","12.4%","6.2%","6.4%","8.0%","3.5%","1.5%","(X)","24.0%","78.9%","76.0%","72.2%","16.8%","13.1%","255,832","48.5%","51.5%","(X)","44,110","43.9%","56.1%","(X)","","336,472","78.8%","21.2%","78.8%","17.2%","20.2%","1.4%","0.7%","0.0%","0.2%","0.0%","0.0%","0.0%","0.5%","10.5%","0.3%","0.6%","7.5%","0.3%","0.9%","0.2%","0.8%","0.5%","0.1%","0.0%","0.3%","0.1%","28.9%","21.2%","0.5%","0.2%","0.5%","17.3%","0.2%","0.4%","","336,472","37.1%","22.0%","2.9%","12.0%","0.8%","47.9%","","336,472","62.9%","52.6%","0.3%","0.2%","9.9%","37.1%","3.6%","19.9%","0.0%","10.4%","0.5%","0.6%","2.1%","0.2%","1.9%","(X)","","201,537","47.7%","52.3%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","407,245","200,275","206,970","96.8","21,973","24,848","27,745","27,380","26,021","62,243","53,375","55,220","24,423","25,354","34,895","16,581","7,187","37.3","91,479","327,412","315,766","299,903","73,365","58,663","315,766","154,508","161,258","95.8","58,663","26,175","32,488","80.6","","407,245","331,447","75,798","331,447","93,826","26,022","6,876","2,492","33","1,294","0","102","0","2,955","70,181","8,538","10,122","25,491","2,502","10,429","3,082","10,017","1,615","69","129","821","596","132,927","75,798","1,364","2,400","3,278","58,494","265","1,366","","407,245","163,487","30,488","13,559","77,212","3,777","198,734","","407,245","257,260","210,652","2,503","2,508","41,597","149,985","44,703","24,895","367","68,716","1,375","1,871","8,058","1,249","6,809","123,162","","262,669","128,633","134,036"
"    Percent","","407,245","49.2%","50.8%","(X)","5.4%","6.1%","6.8%","6.7%","6.4%","15.3%","13.1%","13.6%","6.0%","6.2%","8.6%","4.1%","1.8%","(X)","22.5%","80.4%","77.5%","73.6%","18.0%","14.4%","315,766","48.9%","51.1%","(X)","58,663","44.6%","55.4%","(X)","","407,245","81.4%","18.6%","81.4%","23.0%","6.4%","1.7%","0.6%","0.0%","0.3%","0.0%","0.0%","0.0%","0.7%","17.2%","2.1%","2.5%","6.3%","0.6%","2.6%","0.8%","2.5%","0.4%","0.0%","0.0%","0.2%","0.1%","32.6%","18.6%","0.3%","0.6%","0.8%","14.4%","0.1%","0.3%","","407,245","40.1%","7.5%","3.3%","19.0%","0.9%","48.8%","","407,245","63.2%","51.7%","0.6%","0.6%","10.2%","36.8%","11.0%","6.1%","0.1%","16.9%","0.3%","0.5%","2.0%","0.3%","1.7%","(X)","","262,669","49.0%","51.0%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
