"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,761","1,009","12,848","697","3,031","4,125","4,995","4,406","1,498","","68.3%","95.4%","97.3%","97.9%","93.7%","70.0%","19.8%","2.4%","48,940","11.9%","23,779","10.5%","25,161","13.2%","5,760","67.7%","2,812","64.9%","2,948","70.4%","","2.8%","4.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","71.5%","27.9%","83.6%","81.6%","82.6%","80.9%","86.7%","54.6%","47.1%","","26.3%","78.9%","82.8%","86.6%","60.8%","51.8%","59.6%","52.3%","(X)","52.3%","(X)","59.5%","(X)","46.9%","(X)","50.6%","(X)","63.3%","(X)","39.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","28.5%","72.1%","16.4%","18.4%","17.4%","19.1%","13.3%","45.4%","52.9%","","73.7%","21.1%","17.2%","13.4%","39.2%","48.2%","40.4%","47.7%","(X)","47.7%","(X)","40.5%","(X)","53.1%","(X)","49.4%","(X)","36.7%","(X)","60.5%","","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,905","5,523","75,103","5,004","21,403","23,149","25,547","21,881","2,398","","49.2%","96.5%","99.0%","95.7%","63.0%","37.3%","11.5%","3.4%","239,287","10.0%","112,543","8.6%","126,744","11.3%","40,806","35.4%","20,645","31.5%","20,161","39.5%","","4.1%","6.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","91.3%","82.4%","94.8%","94.1%","95.7%","94.8%","94.1%","85.3%","58.3%","","86.0%","94.2%","95.0%","93.8%","93.5%","87.8%","78.9%","70.5%","(X)","82.5%","(X)","80.6%","(X)","83.8%","(X)","88.8%","(X)","87.7%","(X)","89.6%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.7%","17.6%","5.2%","5.9%","4.3%","5.2%","5.9%","14.7%","41.7%","","14.0%","5.8%","5.0%","6.2%","6.5%","12.2%","21.1%","29.5%","(X)","17.5%","(X)","19.4%","(X)","16.2%","(X)","11.2%","(X)","12.3%","(X)","10.4%","","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","128,323","5,739","89,585","5,538","23,546","27,231","33,270","28,722","4,277","","45.2%","97.5%","98.5%","98.1%","70.7%","45.6%","15.2%","3.4%","299,117","10.9%","144,958","10.2%","154,159","11.5%","43,211","43.8%","22,457","40.1%","20,754","47.9%","","3.7%","6.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.9%","71.0%","93.9%","89.0%","93.5%","94.1%","94.8%","86.6%","55.6%","","71.4%","92.0%","94.0%","95.3%","91.1%","86.2%","79.0%","75.6%","(X)","82.5%","(X)","83.2%","(X)","82.0%","(X)","87.4%","(X)","87.7%","(X)","87.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.1%","29.0%","6.1%","11.0%","6.5%","5.9%","5.2%","13.4%","44.4%","","28.6%","8.0%","6.0%","4.7%","8.9%","13.8%","21.0%","24.4%","(X)","17.5%","(X)","16.8%","(X)","18.0%","(X)","12.6%","(X)","12.3%","(X)","12.9%","","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","290,345","13,532","187,367","12,264","51,297","57,408","66,398","77,949","11,497","","48.8%","96.7%","98.9%","97.8%","78.2%","49.9%","14.8%","3.2%","697,301","12.7%","335,383","11.7%","361,918","13.6%","112,735","51.3%","57,601","45.9%","55,134","56.9%","","3.6%","5.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.3%","61.6%","93.1%","89.9%","92.3%","93.5%","93.9%","76.6%","46.4%","","64.7%","90.5%","93.5%","93.7%","79.7%","73.8%","72.6%","70.7%","(X)","72.6%","(X)","74.3%","(X)","71.2%","(X)","73.8%","(X)","76.8%","(X)","71.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.7%","38.4%","6.9%","10.1%","7.7%","6.5%","6.1%","23.4%","53.6%","","35.3%","9.5%","6.5%","6.3%","20.3%","26.2%","27.4%","29.3%","(X)","27.4%","(X)","25.7%","(X)","28.8%","(X)","26.2%","(X)","23.2%","(X)","28.7%","","(X)","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,917","6,381","75,118","5,829","22,381","22,671","24,237","22,640","3,778","","53.2%","97.5%","98.6%","97.4%","68.7%","37.1%","12.5%","3.8%","264,788","9.9%","124,752","8.5%","140,036","11.2%","38,059","36.0%","18,695","33.3%","19,364","38.6%","","3.6%","5.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.1%","82.0%","93.0%","89.1%","94.0%","94.0%","92.1%","83.5%","57.2%","","83.2%","92.9%","93.4%","91.0%","90.4%","84.6%","78.8%","72.7%","(X)","79.7%","(X)","82.8%","(X)","77.6%","(X)","84.2%","(X)","86.5%","(X)","82.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.9%","18.0%","7.0%","10.9%","6.0%","6.0%","7.9%","16.5%","42.8%","","16.8%","7.1%","6.6%","9.0%","9.6%","15.4%","21.2%","27.3%","(X)","20.3%","(X)","17.2%","(X)","22.4%","(X)","15.8%","(X)","13.5%","(X)","17.6%","","(X)","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","174,773","10,092","106,491","7,154","30,445","31,983","36,909","48,893","9,297","","52.5%","97.0%","98.6%","97.0%","74.4%","47.8%","16.7%","5.0%","423,059","13.7%","206,977","12.7%","216,082","14.5%","64,392","48.6%","33,336","46.8%","31,056","50.5%","","3.5%","5.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.5%","65.5%","93.3%","90.7%","92.0%","93.5%","94.7%","86.8%","67.6%","","67.7%","90.4%","93.5%","94.5%","90.4%","87.6%","82.1%","77.4%","(X)","83.7%","(X)","83.3%","(X)","84.1%","(X)","87.8%","(X)","86.7%","(X)","88.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.5%","34.5%","6.7%","9.3%","8.0%","6.5%","5.3%","13.2%","32.4%","","32.3%","9.6%","6.5%","5.5%","9.6%","12.4%","17.9%","22.6%","(X)","16.3%","(X)","16.7%","(X)","15.9%","(X)","12.2%","(X)","13.3%","(X)","11.1%","","(X)","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","684,042","39,550","417,177","33,798","118,285","122,506","142,588","181,620","45,695","","57.8%","97.2%","98.6%","95.8%","75.8%","43.9%","13.4%","3.3%","1,936,296","11.6%","954,457","10.5%","981,839","12.8%","293,468","45.5%","146,388","41.3%","147,080","49.8%","","3.5%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","81.3%","65.1%","89.5%","87.1%","88.9%","89.5%","90.6%","74.1%","49.8%","","67.4%","87.9%","89.3%","90.0%","76.5%","71.0%","68.1%","71.3%","(X)","69.2%","(X)","68.2%","(X)","69.9%","(X)","70.2%","(X)","69.9%","(X)","70.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.7%","34.9%","10.5%","12.9%","11.1%","10.5%","9.4%","25.9%","50.2%","","32.6%","12.1%","10.7%","10.0%","23.5%","29.0%","31.9%","28.7%","(X)","30.8%","(X)","31.8%","(X)","30.1%","(X)","29.8%","(X)","30.1%","(X)","29.5%","","(X)","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,202","4,722","52,029","3,163","15,873","15,592","17,401","18,652","3,799","","59.8%","97.4%","98.9%","98.0%","76.1%","49.7%","15.2%","4.1%","182,183","12.2%","93,101","10.8%","89,082","13.7%","25,570","49.2%","14,716","40.0%","10,854","61.8%","","3.2%","5.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","84.6%","37.7%","93.2%","89.1%","92.7%","93.3%","94.4%","78.7%","53.0%","","37.4%","90.5%","93.1%","94.4%","83.6%","79.5%","69.1%","68.5%","(X)","74.2%","(X)","75.5%","(X)","73.1%","(X)","78.9%","(X)","83.7%","(X)","74.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.4%","62.3%","6.8%","10.9%","7.3%","6.7%","5.6%","21.3%","47.0%","","62.6%","9.5%","6.9%","5.6%","16.4%","20.5%","30.9%","31.5%","(X)","25.8%","(X)","24.5%","(X)","26.9%","(X)","21.1%","(X)","16.3%","(X)","25.3%","","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,885","2,288","42,703","2,578","11,645","13,507","14,973","12,495","1,399","","34.3%","96.2%","98.6%","98.3%","65.5%","36.5%","13.5%","4.8%","129,026","10.6%","64,242","8.4%","64,784","12.8%","18,426","36.0%","9,457","29.1%","8,969","43.3%","","3.0%","5.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","86.7%","63.3%","89.9%","86.3%","90.9%","89.6%","89.9%","83.9%","51.5%","","66.5%","89.0%","89.1%","90.3%","89.1%","82.2%","81.4%","76.7%","(X)","80.7%","(X)","78.1%","(X)","82.3%","(X)","83.9%","(X)","83.7%","(X)","84.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.3%","36.7%","10.1%","13.7%","9.1%","10.4%","10.1%","16.1%","48.5%","","33.5%","11.0%","10.9%","9.7%","10.9%","17.8%","18.6%","23.3%","(X)","19.3%","(X)","21.9%","(X)","17.7%","(X)","16.1%","(X)","16.3%","(X)","15.9%","","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,732","1,666","17,277","913","4,899","5,639","5,826","3,481","1,308","","76.3%","98.2%","99.0%","98.3%","92.5%","49.3%","14.4%","2.5%","69,607","6.8%","33,101","6.2%","36,506","7.3%","4,885","47.9%","2,587","50.5%","2,298","44.9%","","2.3%","3.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","78.4%","21.4%","86.3%","72.7%","87.4%","84.0%","89.7%","74.1%","57.5%","","21.6%","82.4%","85.1%","88.6%","83.1%","70.6%","66.1%","71.1%","(X)","69.6%","(X)","72.6%","(X)","67.3%","(X)","71.4%","(X)","75.0%","(X)","66.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","21.6%","78.6%","13.7%","27.3%","12.6%","16.0%","10.3%","25.9%","42.5%","","78.4%","17.6%","14.9%","11.4%","16.9%","29.4%","33.9%","28.9%","(X)","30.4%","(X)","27.4%","(X)","32.7%","(X)","28.6%","(X)","25.0%","(X)","33.1%","","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,901","5,277","43,685","3,006","11,309","13,457","15,913","18,244","7,695","","72.1%","97.6%","99.2%","98.2%","86.1%","56.6%","21.9%","3.9%","211,503","12.2%","101,878","12.9%","109,625","11.6%","21,911","55.1%","12,015","55.3%","9,896","54.8%","","3.2%","5.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","69.1%","25.4%","77.0%","69.1%","77.6%","75.5%","79.4%","76.6%","35.9%","","27.2%","73.6%","75.5%","78.1%","77.2%","66.2%","58.7%","65.7%","(X)","64.5%","(X)","62.8%","(X)","66.2%","(X)","68.9%","(X)","65.0%","(X)","73.6%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30.9%","74.6%","23.0%","30.9%","22.4%","24.5%","20.6%","23.4%","64.1%","","72.8%","26.4%","24.5%","21.9%","22.8%","33.8%","41.3%","34.3%","(X)","35.5%","(X)","37.2%","(X)","33.8%","(X)","31.1%","(X)","35.0%","(X)","26.4%","","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","475,184","28,938","306,525","22,988","86,802","92,609","104,126","116,761","22,960","","56.7%","97.8%","98.7%","97.1%","76.4%","43.2%","14.0%","3.4%","1,351,874","10.2%","658,873","9.1%","693,001","11.3%","170,948","43.3%","87,521","38.2%","83,427","48.7%","","3.5%","6.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.1%","53.0%","87.0%","83.2%","86.0%","87.3%","88.4%","85.0%","58.4%","","55.9%","84.4%","87.2%","87.5%","89.0%","86.0%","75.5%","74.2%","(X)","80.6%","(X)","80.9%","(X)","80.4%","(X)","86.6%","(X)","88.6%","(X)","84.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.9%","47.0%","13.0%","16.8%","14.0%","12.7%","11.6%","15.0%","41.6%","","44.1%","15.6%","12.8%","12.5%","11.0%","14.0%","24.5%","25.8%","(X)","19.4%","(X)","19.1%","(X)","19.6%","(X)","13.4%","(X)","11.4%","(X)","15.1%","","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,322","1,368","8,610","753","2,612","2,513","2,732","4,610","2,734","","85.7%","99.1%","100.0%","98.5%","85.2%","53.6%","13.4%","3.2%","76,845","9.5%","36,521","9.4%","40,324","9.7%","6,477","53.8%","3,399","54.8%","3,078","52.7%","","2.4%","4.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","69.1%","18.0%","81.8%","82.9%","78.5%","85.4%","81.4%","78.5%","38.9%","","20.9%","74.4%","86.1%","79.7%","74.2%","69.0%","53.4%","68.7%","(X)","63.7%","(X)","65.9%","(X)","61.8%","(X)","69.6%","(X)","73.1%","(X)","65.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30.9%","82.0%","18.2%","17.1%","21.5%","14.6%","18.6%","21.5%","61.1%","","79.1%","25.6%","13.9%","20.3%","25.8%","31.0%","46.6%","31.3%","(X)","36.3%","(X)","34.1%","(X)","38.2%","(X)","30.4%","(X)","26.9%","(X)","34.6%","","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,984","3,350","52,126","3,522","13,866","16,363","18,375","13,980","1,528","","47.7%","96.7%","99.3%","98.8%","72.6%","39.9%","14.9%","4.3%","138,922","11.0%","68,247","9.9%","70,675","12.1%","21,650","37.7%","11,363","34.7%","10,287","41.0%","","3.1%","5.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.5%","63.3%","93.3%","94.6%","92.1%","94.9%","92.5%","85.8%","50.7%","","62.6%","92.7%","94.3%","92.3%","92.4%","87.6%","78.0%","73.0%","(X)","82.1%","(X)","81.5%","(X)","82.5%","(X)","88.3%","(X)","85.5%","(X)","91.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.5%","36.7%","6.7%","5.4%","7.9%","5.1%","7.5%","14.2%","49.3%","","37.4%","7.3%","5.7%","7.7%","7.6%","12.4%","22.0%","27.0%","(X)","17.9%","(X)","18.5%","(X)","17.5%","(X)","11.7%","(X)","14.5%","(X)","9.0%","","(X)","(X)"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,546","3,657","19,874","1,906","5,828","5,882","6,258","6,305","2,710","","79.2%","97.8%","99.0%","97.3%","86.7%","44.2%","12.8%","2.9%","108,570","8.3%","54,125","7.5%","54,445","9.0%","8,521","46.4%","4,359","43.2%","4,162","49.9%","","2.4%","3.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","74.9%","25.9%","86.1%","81.3%","85.2%","85.9%","88.8%","79.3%","48.5%","","25.2%","80.9%","85.3%","89.5%","86.8%","73.5%","67.7%","60.2%","(X)","69.9%","(X)","67.5%","(X)","71.9%","(X)","76.6%","(X)","72.5%","(X)","80.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
