"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Population 18 years and over!!Enrolled in college or graduate school","Males 18 years and over","Males 18 years and over!!Enrolled in college or graduate school","Females 18 years and over","Females 18 years and over!!Enrolled in college or graduate school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,948","1,082","11,952","682","3,119","3,878","4,273","4,453","1,461","","75.5%","97.8%","100.0%","98.1%","91.9%","67.3%","19.5%","1.8%","50,709","11.6%","24,299","11.7%","26,410","11.4%","5,971","68.2%","2,989","69.0%","2,982","67.4%","","4.1%","6.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","70.3%","6.8%","85.2%","85.0%","80.3%","85.3%","88.7%","53.4%","47.3%","","4.2%","78.9%","84.9%","88.7%","65.6%","45.7%","60.5%","49.7%","(X)","51.7%","(X)","52.7%","(X)","50.7%","(X)","49.9%","(X)","54.1%","(X)","45.6%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","29.7%","93.2%","14.8%","15.0%","19.7%","14.7%","11.3%","46.6%","52.7%","","95.8%","21.1%","15.1%","11.3%","34.4%","54.3%","39.5%","50.3%","(X)","48.3%","(X)","47.3%","(X)","49.3%","(X)","50.1%","(X)","45.9%","(X)","54.4%","","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","105,628","5,903","72,013","4,799","21,024","21,084","25,106","24,992","2,720","","48.4%","96.4%","99.0%","96.1%","67.4%","40.5%","12.0%","3.7%","248,151","11.1%","118,051","10.0%","130,100","12.1%","41,671","39.8%","20,853","35.5%","20,818","44.1%","","7.7%","11.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","90.5%","82.2%","94.3%","92.4%","94.1%","94.3%","94.8%","85.4%","55.8%","","83.9%","93.3%","94.3%","95.0%","91.8%","87.3%","78.8%","70.6%","(X)","82.4%","(X)","82.5%","(X)","82.3%","(X)","88.1%","(X)","89.1%","(X)","87.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.5%","17.8%","5.7%","7.6%","5.9%","5.7%","5.2%","14.6%","44.2%","","16.1%","6.7%","5.7%","5.0%","8.2%","12.7%","21.2%","29.4%","(X)","17.6%","(X)","17.5%","(X)","17.7%","(X)","11.9%","(X)","10.9%","(X)","12.7%","","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","126,068","6,313","83,375","5,506","22,599","25,855","29,415","31,778","4,602","","50.0%","96.7%","98.8%","98.1%","73.9%","47.6%","16.6%","3.0%","310,182","11.6%","149,905","10.9%","160,277","12.3%","46,186","47.1%","23,871","42.1%","22,315","52.4%","","5.8%","8.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","90.1%","73.0%","94.1%","89.4%","94.2%","94.4%","94.7%","87.7%","56.9%","","73.2%","92.6%","94.7%","94.9%","92.6%","87.7%","80.1%","72.7%","(X)","83.8%","(X)","84.6%","(X)","83.2%","(X)","89.0%","(X)","90.3%","(X)","87.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.9%","27.0%","5.9%","10.6%","5.8%","5.6%","5.3%","12.3%","43.1%","","26.8%","7.4%","5.3%","5.1%","7.4%","12.3%","19.9%","27.3%","(X)","16.2%","(X)","15.4%","(X)","16.8%","(X)","11.0%","(X)","9.7%","(X)","12.1%","","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","286,800","14,155","175,425","12,359","48,480","53,075","61,511","84,467","12,753","","52.2%","96.4%","99.0%","98.0%","79.9%","54.0%","16.6%","2.6%","725,086","13.2%","351,582","12.7%","373,504","13.8%","116,396","54.7%","59,557","50.5%","56,839","59.1%","","5.3%","7.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","84.6%","63.1%","93.0%","90.0%","92.3%","92.8%","94.2%","77.3%","42.7%","","63.1%","91.1%","93.1%","93.9%","77.8%","76.1%","70.4%","68.5%","(X)","72.7%","(X)","74.9%","(X)","70.7%","(X)","74.7%","(X)","77.4%","(X)","72.2%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.4%","36.9%","7.0%","10.0%","7.7%","7.2%","5.8%","22.7%","57.3%","","36.9%","8.9%","6.9%","6.1%","22.2%","23.9%","29.6%","31.5%","(X)","27.3%","(X)","25.1%","(X)","29.3%","(X)","25.3%","(X)","22.6%","(X)","27.8%","","(X)","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,375","6,128","71,626","5,661","21,161","21,528","23,276","25,588","4,033","","50.6%","96.8%","98.6%","97.5%","71.3%","40.7%","13.9%","3.7%","274,911","10.7%","129,044","9.7%","145,867","11.7%","39,507","40.0%","19,764","38.2%","19,743","41.9%","","5.2%","7.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.0%","77.1%","93.2%","92.1%","93.7%","93.1%","93.2%","84.9%","57.2%","","75.4%","93.7%","93.0%","92.2%","93.0%","85.6%","81.8%","68.7%","(X)","81.2%","(X)","85.1%","(X)","78.3%","(X)","86.8%","(X)","88.9%","(X)","85.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.0%","22.9%","6.8%","7.9%","6.3%","6.9%","6.8%","15.1%","42.8%","","24.6%","6.3%","7.0%","7.8%","7.0%","14.4%","18.2%","31.3%","(X)","18.8%","(X)","14.9%","(X)","21.7%","(X)","13.2%","(X)","11.1%","(X)","15.0%","","(X)","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","167,557","9,871","101,807","7,789","29,408","29,147","35,463","47,513","8,366","","50.7%","96.5%","98.2%","97.6%","74.3%","46.1%","17.1%","4.0%","435,967","12.7%","212,618","12.0%","223,349","13.4%","64,049","47.2%","32,481","46.1%","31,568","48.3%","","5.4%","8.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.3%","64.6%","94.1%","95.8%","93.6%","93.9%","94.5%","88.4%","64.8%","","66.0%","92.9%","93.9%","95.0%","89.2%","90.4%","82.7%","74.9%","(X)","84.8%","(X)","85.2%","(X)","84.5%","(X)","89.9%","(X)","90.3%","(X)","89.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.7%","35.4%","5.9%","4.2%","6.4%","6.1%","5.5%","11.6%","35.2%","","34.0%","7.1%","6.1%","5.0%","10.8%","9.6%","17.3%","25.1%","(X)","15.2%","(X)","14.8%","(X)","15.5%","(X)","10.1%","(X)","9.7%","(X)","10.5%","","(X)","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","676,659","39,556","396,663","31,445","116,556","116,008","132,654","193,341","47,099","","56.1%","97.0%","98.6%","96.7%","78.9%","47.1%","13.7%","3.0%","1,996,129","12.0%","984,884","11.0%","1,011,245","12.9%","296,415","48.5%","147,307","44.4%","149,108","52.7%","","4.6%","7.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.7%","63.7%","89.2%","87.1%","88.8%","88.9%","90.4%","75.1%","45.7%","","65.5%","87.9%","88.7%","89.4%","77.4%","72.1%","66.4%","69.2%","(X)","69.3%","(X)","69.3%","(X)","69.3%","(X)","71.4%","(X)","72.3%","(X)","70.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.3%","36.3%","10.8%","12.9%","11.2%","11.1%","9.6%","24.9%","54.3%","","34.5%","12.1%","11.3%","10.6%","22.6%","27.9%","33.6%","30.8%","(X)","30.7%","(X)","30.7%","(X)","30.7%","(X)","28.6%","(X)","27.7%","(X)","29.3%","","(X)","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,357","4,549","54,729","2,753","16,624","16,945","18,407","18,379","3,700","","58.9%","97.4%","99.2%","99.5%","80.0%","51.1%","14.7%","3.3%","189,400","11.5%","96,119","10.6%","93,281","12.5%","24,837","52.7%","13,987","45.2%","10,850","62.3%","","4.3%","7.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.4%","42.3%","93.0%","87.8%","92.7%","92.9%","94.2%","79.8%","52.6%","","40.9%","90.8%","93.5%","93.3%","82.7%","79.9%","74.7%","65.3%","(X)","75.1%","(X)","75.7%","(X)","74.5%","(X)","79.0%","(X)","79.9%","(X)","78.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.6%","57.7%","7.0%","12.2%","7.3%","7.1%","5.8%","20.2%","47.4%","","59.1%","9.2%","6.5%","6.7%","17.3%","20.1%","25.3%","34.7%","(X)","24.9%","(X)","24.3%","(X)","25.5%","(X)","21.0%","(X)","20.1%","(X)","21.9%","","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,635","2,549","40,409","2,862","11,090","12,548","13,909","13,435","1,242","","37.4%","96.9%","98.2%","98.6%","73.6%","36.3%","12.2%","4.4%","136,497","10.5%","67,694","9.3%","68,803","11.7%","19,419","39.0%","9,901","34.8%","9,518","43.4%","","4.0%","6.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.8%","76.3%","92.5%","91.2%","92.2%","92.7%","92.7%","84.1%","46.5%","","75.6%","92.0%","91.9%","93.4%","86.6%","85.4%","77.2%","77.9%","(X)","81.0%","(X)","83.4%","(X)","79.0%","(X)","85.1%","(X)","87.3%","(X)","83.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.2%","23.7%","7.5%","8.8%","7.8%","7.3%","7.3%","15.9%","53.5%","","24.4%","8.0%","8.1%","6.6%","13.4%","14.6%","22.8%","22.1%","(X)","19.0%","(X)","16.6%","(X)","21.0%","(X)","14.9%","(X)","12.7%","(X)","16.7%","","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,931","1,715","16,854","1,105","4,683","5,228","5,838","4,026","1,336","","72.7%","98.0%","99.7%","98.6%","93.8%","51.9%","16.6%","2.6%","71,692","7.4%","34,153","7.7%","37,539","7.2%","5,096","52.5%","3,046","55.4%","2,050","48.1%","","4.5%","7.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.2%","27.3%","88.5%","83.2%","86.3%","88.3%","91.5%","79.2%","45.8%","","26.5%","83.7%","88.6%","91.5%","84.0%","73.3%","74.4%","61.3%","(X)","70.8%","(X)","75.9%","(X)","65.8%","(X)","75.0%","(X)","80.9%","(X)","64.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.8%","72.7%","11.5%","16.8%","13.7%","11.7%","8.5%","20.8%","54.2%","","73.5%","16.3%","11.4%","8.5%","16.0%","26.7%","25.6%","38.7%","(X)","29.2%","(X)","24.1%","(X)","34.2%","(X)","25.0%","(X)","19.1%","(X)","35.1%","","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72,994","5,678","42,334","3,199","11,688","12,308","15,139","17,832","7,150","","74.6%","98.8%","99.1%","98.8%","86.2%","51.9%","20.3%","3.4%","215,759","11.5%","103,807","11.7%","111,952","11.3%","22,665","52.2%","12,071","49.3%","10,594","55.5%","","4.8%","7.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","69.3%","32.9%","78.6%","74.9%","78.5%","77.6%","80.3%","72.1%","36.0%","","37.1%","74.1%","78.2%","78.9%","74.7%","59.8%","62.4%","60.2%","(X)","61.7%","(X)","60.6%","(X)","62.6%","(X)","62.5%","(X)","61.9%","(X)","63.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30.7%","67.1%","21.4%","25.1%","21.5%","22.4%","19.7%","27.9%","64.0%","","62.9%","25.9%","21.8%","21.1%","25.3%","40.2%","37.6%","39.8%","(X)","38.3%","(X)","39.4%","(X)","37.4%","(X)","37.5%","(X)","38.1%","(X)","37.0%","","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","476,269","29,699","297,748","23,309","85,989","87,590","100,860","124,976","23,846","","56.0%","97.2%","98.4%","97.6%","78.4%","46.6%","14.1%","3.1%","1,408,958","10.5%","686,533","9.8%","722,425","11.1%","177,092","46.4%","89,571","43.3%","87,521","49.6%","","5.7%","8.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","82.9%","54.0%","87.4%","85.6%","87.2%","87.4%","88.0%","84.1%","55.4%","","56.7%","85.3%","87.3%","87.7%","88.0%","83.5%","74.0%","74.5%","(X)","79.5%","(X)","80.1%","(X)","78.9%","(X)","84.3%","(X)","86.1%","(X)","82.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.1%","46.0%","12.6%","14.4%","12.8%","12.6%","12.0%","15.9%","44.6%","","43.3%","14.7%","12.7%","12.3%","12.0%","16.5%","26.0%","25.5%","(X)","20.5%","(X)","19.9%","(X)","21.1%","(X)","15.7%","(X)","13.9%","(X)","17.3%","","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,840","1,389","8,752","786","2,500","2,483","2,983","5,676","3,023","","78.8%","96.8%","99.5%","98.5%","85.8%","54.1%","15.4%","3.5%","78,863","11.0%","37,658","11.0%","41,205","11.0%","7,321","56.4%","3,790","58.2%","3,531","54.6%","","3.9%","7.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","70.6%","31.2%","80.3%","70.5%","80.4%","86.4%","77.7%","79.7%","43.4%","","32.9%","75.4%","84.5%","76.5%","86.9%","70.7%","59.9%","61.6%","(X)","67.0%","(X)","70.7%","(X)","63.6%","(X)","74.8%","(X)","81.7%","(X)","66.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","29.4%","68.8%","19.7%","29.5%","19.6%","13.6%","22.3%","20.3%","56.6%","","67.1%","24.6%","15.5%","23.5%","13.1%","29.3%","40.1%","38.4%","(X)","33.0%","(X)","29.3%","(X)","36.4%","(X)","25.2%","(X)","18.3%","(X)","33.2%","","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69,866","3,094","49,938","3,609","13,701","14,732","17,896","15,132","1,702","","42.1%","96.5%","99.1%","99.0%","70.9%","41.8%","16.2%","4.0%","147,866","11.3%","72,469","9.8%","75,397","12.6%","24,153","37.9%","12,567","32.3%","11,586","44.0%","","4.7%","7.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.8%","72.5%","93.1%","93.2%","91.6%","94.1%","93.4%","83.0%","42.9%","","69.6%","92.6%","93.6%","93.5%","91.6%","84.4%","76.1%","68.1%","(X)","78.7%","(X)","78.9%","(X)","78.5%","(X)","85.4%","(X)","83.6%","(X)","86.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.2%","27.5%","6.9%","6.8%","8.4%","5.9%","6.6%","17.0%","57.1%","","30.4%","7.4%","6.4%","6.5%","8.4%","15.6%","23.9%","31.9%","(X)","21.3%","(X)","21.1%","(X)","21.5%","(X)","14.6%","(X)","16.4%","(X)","13.2%","","(X)","(X)"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,408","3,742","21,202","2,128","6,480","6,778","5,816","5,869","2,595","","74.6%","98.4%","98.9%","97.4%","83.7%","47.3%","12.9%","2.8%","109,341","7.7%","53,706","7.1%","55,635","8.3%","7,555","46.6%","3,626","47.2%","3,929","46.1%","","4.3%","6.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","76.2%","33.3%","85.9%","82.1%","88.7%","82.5%","88.1%","82.6%","45.0%","","29.7%","83.8%","82.8%","88.3%","84.2%","79.6%","70.7%","56.6%","(X)","71.1%","(X)","75.4%","(X)","67.5%","(X)","80.8%","(X)","83.6%","(X)","78.2%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
