"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,213","1,020","11,290","647","3,041","3,452","4,150","4,562","1,341","5,903","2,872","3,031","1,016","821","3,417","3,380","4,567","4,567","3,080","3,080","2,413","2,253","4,022","2,507","5,725","828","39,489","777","6,435","4,264","3,306","2,088","3,129","2,176"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","62.0%","3.6%","16.7%","19.0%","22.8%","25.0%","7.4%","32.4%","30.8%","34.1%","(X)","80.8%","(X)","98.9%","(X)","100.0%","(X)","100.0%","(X)","93.4%","(X)","62.3%","(X)","14.5%","(X)","2.0%","(X)","66.3%","(X)","63.2%","(X)","69.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","130","9,476","530","2,465","2,948","3,533","2,488","433","2,921","1,622","1,299","(X)","55","(X)","2,671","(X)","3,861","(X)","2,629","(X)","1,403","(X)","1,198","(X)","377","(X)","333","(X)","2,188","(X)","1,285","(X)","903"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68.8%","12.7%","83.9%","81.9%","81.1%","85.4%","85.1%","54.5%","32.3%","49.5%","56.5%","42.9%","(X)","6.7%","(X)","79.0%","(X)","84.5%","(X)","85.4%","(X)","62.3%","(X)","47.8%","(X)","45.5%","(X)","42.9%","(X)","51.3%","(X)","61.5%","(X)","41.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","890","1,814","117","576","504","617","2,074","908","2,982","1,250","1,732","(X)","766","(X)","709","(X)","706","(X)","451","(X)","850","(X)","1,309","(X)","451","(X)","444","(X)","2,076","(X)","803","(X)","1,273"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31.2%","87.3%","16.1%","18.1%","18.9%","14.6%","14.9%","45.5%","67.7%","50.5%","43.5%","57.1%","(X)","93.3%","(X)","21.0%","(X)","15.5%","(X)","14.6%","(X)","37.7%","(X)","52.2%","(X)","54.5%","(X)","57.1%","(X)","48.7%","(X)","38.5%","(X)","58.5%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,407","6,431","70,959","5,151","20,253","20,655","24,900","24,487","2,530","27,017","12,105","14,912","11,487","5,579","25,722","24,769","26,448","26,069","17,518","16,872","11,666","7,903","28,992","11,565","50,892","6,200","160,267","5,450","40,658","16,050","20,424","7,498","20,234","8,552"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","68.0%","4.9%","19.4%","19.8%","23.8%","23.5%","2.4%","25.9%","23.1%","28.6%","(X)","48.6%","(X)","96.3%","(X)","98.6%","(X)","96.3%","(X)","67.7%","(X)","39.9%","(X)","12.2%","(X)","3.4%","(X)","39.5%","(X)","36.7%","(X)","42.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,381","66,808","4,760","19,087","19,482","23,479","21,083","1,322","22,405","10,090","12,315","(X)","4,659","(X)","23,163","(X)","24,563","(X)","15,946","(X)","7,249","(X)","10,092","(X)","5,173","(X)","3,749","(X)","14,124","(X)","6,683","(X)","7,441"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.6%","83.7%","94.2%","92.4%","94.2%","94.3%","94.3%","86.1%","52.3%","82.9%","83.4%","82.6%","(X)","83.5%","(X)","93.5%","(X)","94.2%","(X)","94.5%","(X)","91.7%","(X)","87.3%","(X)","83.4%","(X)","68.8%","(X)","88.0%","(X)","89.1%","(X)","87.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,050","4,151","391","1,166","1,173","1,421","3,404","1,208","4,612","2,015","2,597","(X)","920","(X)","1,606","(X)","1,506","(X)","926","(X)","654","(X)","1,473","(X)","1,027","(X)","1,701","(X)","1,926","(X)","815","(X)","1,111"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.4%","16.3%","5.8%","7.6%","5.8%","5.7%","5.7%","13.9%","47.7%","17.1%","16.6%","17.4%","(X)","16.5%","(X)","6.5%","(X)","5.8%","(X)","5.5%","(X)","8.3%","(X)","12.7%","(X)","16.6%","(X)","31.2%","(X)","12.0%","(X)","10.9%","(X)","13.0%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","126,037","6,614","82,020","5,508","22,549","25,474","28,489","33,021","4,382","37,403","17,427","19,976","11,745","6,072","28,144","27,278","32,095","31,597","19,715","19,193","12,332","9,139","34,263","16,462","57,789","10,006","207,762","6,290","46,595","22,115","24,233","10,641","22,362","11,474"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","65.1%","4.4%","17.9%","20.2%","22.6%","26.2%","3.5%","29.7%","27.6%","31.7%","(X)","51.7%","(X)","96.9%","(X)","98.4%","(X)","97.4%","(X)","74.1%","(X)","48.0%","(X)","17.3%","(X)","3.0%","(X)","47.5%","(X)","43.9%","(X)","51.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,888","77,205","4,974","21,179","24,260","26,792","28,795","2,430","31,225","14,674","16,551","(X)","4,527","(X)","25,232","(X)","30,097","(X)","18,163","(X)","8,471","(X)","14,561","(X)","7,971","(X)","4,296","(X)","19,852","(X)","9,651","(X)","10,201"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.9%","73.9%","94.1%","90.3%","93.9%","95.2%","94.0%","87.2%","55.5%","83.5%","84.2%","82.9%","(X)","74.6%","(X)","92.5%","(X)","95.3%","(X)","94.6%","(X)","92.7%","(X)","88.5%","(X)","79.7%","(X)","68.3%","(X)","89.8%","(X)","90.7%","(X)","88.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,726","4,815","534","1,370","1,214","1,697","4,226","1,952","6,178","2,753","3,425","(X)","1,545","(X)","2,046","(X)","1,500","(X)","1,030","(X)","668","(X)","1,901","(X)","2,035","(X)","1,994","(X)","2,263","(X)","990","(X)","1,273"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.1%","26.1%","5.9%","9.7%","6.1%","4.8%","6.0%","12.8%","44.5%","16.5%","15.8%","17.1%","(X)","25.4%","(X)","7.5%","(X)","4.7%","(X)","5.4%","(X)","7.3%","(X)","11.5%","(X)","20.3%","(X)","31.7%","(X)","10.2%","(X)","9.3%","(X)","11.1%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","281,917","13,957","170,088","11,909","47,520","52,135","58,524","84,844","13,028","97,872","45,275","52,597","23,571","12,408","59,183","57,192","65,460","64,865","42,683","41,906","33,298","26,778","80,588","44,493","131,325","21,880","489,109","12,395","113,886","63,610","58,027","30,076","55,859","33,534"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","60.3%","4.2%","16.9%","18.5%","20.8%","30.1%","4.6%","34.7%","32.3%","37.1%","(X)","52.6%","(X)","96.6%","(X)","99.1%","(X)","98.2%","(X)","80.4%","(X)","55.2%","(X)","16.7%","(X)","2.5%","(X)","55.9%","(X)","51.8%","(X)","60.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,823","158,895","10,738","44,143","48,631","55,383","65,483","5,361","70,844","34,041","36,803","(X)","7,731","(X)","52,469","(X)","60,739","(X)","39,467","(X)","20,948","(X)","33,288","(X)","15,566","(X)","8,354","(X)","47,035","(X)","23,180","(X)","23,855"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.6%","63.2%","93.4%","90.2%","92.9%","93.3%","94.6%","77.2%","41.1%","72.4%","75.2%","70.0%","(X)","62.3%","(X)","91.7%","(X)","93.6%","(X)","94.2%","(X)","78.2%","(X)","74.8%","(X)","71.1%","(X)","67.4%","(X)","73.9%","(X)","77.1%","(X)","71.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,134","11,193","1,171","3,377","3,504","3,141","19,361","7,667","27,028","11,234","15,794","(X)","4,677","(X)","4,723","(X)","4,126","(X)","2,439","(X)","5,830","(X)","11,205","(X)","6,314","(X)","4,041","(X)","16,575","(X)","6,896","(X)","9,679"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.4%","36.8%","6.6%","9.8%","7.1%","6.7%","5.4%","22.8%","58.9%","27.6%","24.8%","30.0%","(X)","37.7%","(X)","8.3%","(X)","6.4%","(X)","5.8%","(X)","21.8%","(X)","25.2%","(X)","28.9%","(X)","32.6%","(X)","26.1%","(X)","22.9%","(X)","28.9%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","108,006","6,398","71,408","6,130","21,475","21,073","22,730","26,267","3,933","30,200","13,038","17,162","11,399","5,829","27,497","26,634","26,542","26,111","15,262","14,879","10,091","7,217","28,606","12,039","59,259","8,693","179,446","6,604","38,697","16,048","19,390","7,666","19,307","8,382"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","66.1%","5.7%","19.9%","19.5%","21.0%","24.3%","3.6%","28.0%","24.6%","31.2%","(X)","51.1%","(X)","96.9%","(X)","98.4%","(X)","97.5%","(X)","71.5%","(X)","42.1%","(X)","14.7%","(X)","3.7%","(X)","41.5%","(X)","39.5%","(X)","43.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,011","66,280","5,575","19,966","19,597","21,142","22,784","2,202","24,986","11,188","13,798","(X)","4,387","(X)","24,766","(X)","24,253","(X)","13,751","(X)","6,716","(X)","10,632","(X)","7,057","(X)","4,715","(X)","14,334","(X)","6,976","(X)","7,358"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.1%","78.3%","92.8%","90.9%","93.0%","93.0%","93.0%","86.7%","56.0%","82.7%","85.8%","80.4%","(X)","75.3%","(X)","93.0%","(X)","92.9%","(X)","92.4%","(X)","93.1%","(X)","88.3%","(X)","81.2%","(X)","71.4%","(X)","89.3%","(X)","91.0%","(X)","87.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,387","5,128","555","1,509","1,476","1,588","3,483","1,731","5,214","1,850","3,364","(X)","1,442","(X)","1,868","(X)","1,858","(X)","1,128","(X)","501","(X)","1,407","(X)","1,636","(X)","1,889","(X)","1,714","(X)","690","(X)","1,024"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.9%","21.7%","7.2%","9.1%","7.0%","7.0%","7.0%","13.3%","44.0%","17.3%","14.2%","19.6%","(X)","24.7%","(X)","7.0%","(X)","7.1%","(X)","7.6%","(X)","6.9%","(X)","11.7%","(X)","18.8%","(X)","28.6%","(X)","10.7%","(X)","9.0%","(X)","12.2%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","166,499","9,659","101,267","7,677","29,375","29,108","35,107","47,132","8,441","55,573","25,465","30,108","16,531","8,509","36,949","35,641","37,128","36,572","26,098","25,430","16,011","11,960","47,279","21,973","88,582","15,321","286,641","11,093","63,290","29,880","32,084","14,592","31,206","15,288"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","60.8%","4.6%","17.6%","17.5%","21.1%","28.3%","5.1%","33.4%","31.0%","35.7%","(X)","51.5%","(X)","96.5%","(X)","98.5%","(X)","97.4%","(X)","74.7%","(X)","46.5%","(X)","17.3%","(X)","3.9%","(X)","47.2%","(X)","45.5%","(X)","49.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,245","95,477","7,295","27,767","27,276","33,139","42,145","5,598","47,743","22,166","25,577","(X)","5,547","(X)","33,392","(X)","34,348","(X)","24,141","(X)","10,839","(X)","20,197","(X)","12,731","(X)","8,270","(X)","27,362","(X)","13,565","(X)","13,797"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.8%","64.7%","94.3%","95.0%","94.5%","93.7%","94.4%","89.4%","66.3%","85.9%","87.0%","85.0%","(X)","65.2%","(X)","93.7%","(X)","93.9%","(X)","94.9%","(X)","90.6%","(X)","91.9%","(X)","83.1%","(X)","74.6%","(X)","91.6%","(X)","93.0%","(X)","90.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,414","5,790","382","1,608","1,832","1,968","4,987","2,843","7,830","3,299","4,531","(X)","2,962","(X)","2,249","(X)","2,224","(X)","1,289","(X)","1,121","(X)","1,776","(X)","2,590","(X)","2,823","(X)","2,518","(X)","1,027","(X)","1,491"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.2%","35.3%","5.7%","5.0%","5.5%","6.3%","5.6%","10.6%","33.7%","14.1%","13.0%","15.0%","(X)","34.8%","(X)","6.3%","(X)","6.1%","(X)","5.1%","(X)","9.4%","(X)","8.1%","(X)","16.9%","(X)","25.4%","(X)","8.4%","(X)","7.0%","(X)","9.8%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","675,743","39,984","392,035","31,190","115,130","114,676","131,039","195,214","48,510","243,724","109,825","133,899","65,521","36,657","146,592","142,268","143,774","141,809","90,031","87,471","77,904","62,024","216,666","104,122","465,543","63,760","1,262,642","37,632","294,570","145,349","145,723","65,035","148,847","80,314"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","58.0%","4.6%","17.0%","17.0%","19.4%","28.9%","7.2%","36.1%","33.3%","38.7%","(X)","55.9%","(X)","97.1%","(X)","98.6%","(X)","97.2%","(X)","79.6%","(X)","48.1%","(X)","13.7%","(X)","3.0%","(X)","49.3%","(X)","44.6%","(X)","54.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25,245","348,956","27,292","102,296","101,590","117,778","147,622","22,065","169,687","76,854","92,833","(X)","23,577","(X)","125,214","(X)","125,586","(X)","77,874","(X)","48,517","(X)","75,487","(X)","42,114","(X)","25,519","(X)","104,915","(X)","47,923","(X)","56,992"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.5%","63.1%","89.0%","87.5%","88.9%","88.6%","89.9%","75.6%","45.5%","69.6%","70.0%","69.3%","(X)","64.3%","(X)","88.0%","(X)","88.6%","(X)","89.0%","(X)","78.2%","(X)","72.5%","(X)","66.1%","(X)","67.8%","(X)","72.2%","(X)","73.7%","(X)","71.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14,739","43,079","3,898","12,834","13,086","13,261","47,592","26,445","74,037","32,971","41,066","(X)","13,080","(X)","17,054","(X)","16,223","(X)","9,597","(X)","13,507","(X)","28,635","(X)","21,646","(X)","12,113","(X)","40,434","(X)","17,112","(X)","23,322"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.5%","36.9%","11.0%","12.5%","11.1%","11.4%","10.1%","24.4%","54.5%","30.4%","30.0%","30.7%","(X)","35.7%","(X)","12.0%","(X)","11.4%","(X)","11.0%","(X)","21.8%","(X)","27.5%","(X)","33.9%","(X)","32.2%","(X)","27.8%","(X)","26.3%","(X)","29.0%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,017","4,254","54,698","3,021","16,515","16,776","18,386","18,500","3,565","22,065","10,277","11,788","6,765","3,657","19,376","18,893","21,358","21,246","13,048","12,904","7,735","6,267","17,343","9,011","33,297","4,731","134,328","4,308","25,078","13,206","13,794","6,429","11,284","6,777"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","67.5%","3.7%","20.4%","20.7%","22.7%","22.8%","4.4%","27.2%","25.3%","29.2%","(X)","54.1%","(X)","97.5%","(X)","99.5%","(X)","98.9%","(X)","81.0%","(X)","52.0%","(X)","14.2%","(X)","3.2%","(X)","52.7%","(X)","46.6%","(X)","60.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,891","50,659","2,663","15,327","15,421","17,248","14,725","1,647","16,372","7,743","8,629","(X)","1,612","(X)","17,095","(X)","19,677","(X)","12,010","(X)","5,172","(X)","7,052","(X)","3,550","(X)","2,754","(X)","10,231","(X)","5,080","(X)","5,151"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.1%","44.5%","92.6%","88.1%","92.8%","91.9%","93.8%","79.6%","46.2%","74.2%","75.3%","73.2%","(X)","44.1%","(X)","90.5%","(X)","92.6%","(X)","93.1%","(X)","82.5%","(X)","78.3%","(X)","75.0%","(X)","63.9%","(X)","77.5%","(X)","79.0%","(X)","76.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,363","4,039","358","1,188","1,355","1,138","3,775","1,918","5,693","2,534","3,159","(X)","2,045","(X)","1,798","(X)","1,569","(X)","894","(X)","1,095","(X)","1,959","(X)","1,181","(X)","1,554","(X)","2,975","(X)","1,349","(X)","1,626"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.9%","55.5%","7.4%","11.9%","7.2%","8.1%","6.2%","20.4%","53.8%","25.8%","24.7%","26.8%","(X)","55.9%","(X)","9.5%","(X)","7.4%","(X)","6.9%","(X)","17.5%","(X)","21.7%","(X)","25.0%","(X)","36.1%","(X)","22.5%","(X)","21.0%","(X)","24.0%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,103","2,512","40,476","3,161","10,888","12,438","13,989","12,867","1,248","14,115","6,524","7,591","6,324","2,190","14,131","13,581","15,508","15,219","10,008","9,907","5,843","4,087","13,304","4,829","26,986","3,664","90,693","3,626","19,147","7,087","10,040","3,524","9,107","3,563"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
