"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,801","1,057","10,218","791","2,745","2,885","3,797","5,157","1,369","6,526","3,330","3,196","844","700","3,520","3,367","3,952","3,952","2,764","2,758","2,599","2,362","4,400","3,024","5,608","739","40,553","899","6,999","4,822","3,577","2,400","3,422","2,422"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","57.4%","4.4%","15.4%","16.2%","21.3%","29.0%","7.7%","36.7%","36.5%","36.8%","(X)","82.9%","(X)","95.7%","(X)","100.0%","(X)","99.8%","(X)","90.9%","(X)","68.7%","(X)","13.2%","(X)","2.2%","(X)","68.9%","(X)","67.1%","(X)","70.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","316","8,028","563","2,314","2,121","3,030","2,537","547","3,084","1,528","1,556","(X)","189","(X)","2,598","(X)","3,061","(X)","2,117","(X)","1,253","(X)","1,322","(X)","422","(X)","466","(X)","2,158","(X)","1,040","(X)","1,118"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64.2%","29.9%","78.6%","71.2%","84.3%","73.5%","79.8%","49.2%","40.0%","47.3%","45.9%","48.7%","(X)","27.0%","(X)","77.2%","(X)","77.5%","(X)","76.8%","(X)","53.0%","(X)","43.7%","(X)","57.1%","(X)","51.8%","(X)","44.8%","(X)","43.3%","(X)","46.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","741","2,190","228","431","764","767","2,620","822","3,442","1,802","1,640","(X)","511","(X)","769","(X)","891","(X)","641","(X)","1,109","(X)","1,702","(X)","317","(X)","433","(X)","2,664","(X)","1,360","(X)","1,304"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35.8%","70.1%","21.4%","28.8%","15.7%","26.5%","20.2%","50.8%","60.0%","52.7%","54.1%","51.3%","(X)","73.0%","(X)","22.8%","(X)","22.5%","(X)","23.2%","(X)","47.0%","(X)","56.3%","(X)","42.9%","(X)","48.2%","(X)","55.2%","(X)","56.7%","(X)","53.8%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,215","5,603","65,160","5,116","18,133","20,523","21,388","22,723","2,729","25,452","10,897","14,555","11,090","5,112","24,127","22,551","25,819","25,159","15,015","14,445","9,927","6,674","27,749","11,161","54,178","6,593","167,543","4,520","37,676","15,144","18,933","6,711","18,743","8,433"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","67.7%","5.3%","18.8%","21.3%","22.2%","23.6%","2.8%","26.5%","23.0%","29.8%","(X)","46.1%","(X)","93.5%","(X)","97.4%","(X)","96.2%","(X)","67.2%","(X)","40.2%","(X)","12.2%","(X)","2.7%","(X)","40.2%","(X)","35.4%","(X)","45.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,609","61,930","4,795","17,235","19,504","20,396","20,125","1,625","21,750","9,390","12,360","(X)","4,133","(X)","21,326","(X)","24,040","(X)","13,803","(X)","6,085","(X)","10,083","(X)","5,417","(X)","3,402","(X)","13,631","(X)","6,177","(X)","7,454"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.8%","82.3%","95.0%","93.7%","95.0%","95.0%","95.4%","88.6%","59.5%","85.5%","86.2%","84.9%","(X)","80.8%","(X)","94.6%","(X)","95.6%","(X)","95.6%","(X)","91.2%","(X)","90.3%","(X)","82.2%","(X)","75.3%","(X)","90.0%","(X)","92.0%","(X)","88.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","994","3,230","321","898","1,019","992","2,598","1,104","3,702","1,507","2,195","(X)","979","(X)","1,225","(X)","1,119","(X)","642","(X)","589","(X)","1,078","(X)","1,176","(X)","1,118","(X)","1,513","(X)","534","(X)","979"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.2%","17.7%","5.0%","6.3%","5.0%","5.0%","4.6%","11.4%","40.5%","14.5%","13.8%","15.1%","(X)","19.2%","(X)","5.4%","(X)","4.4%","(X)","4.4%","(X)","8.8%","(X)","9.7%","(X)","17.8%","(X)","24.7%","(X)","10.0%","(X)","8.0%","(X)","11.6%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,140","6,124","74,458","5,399","20,291","22,622","26,146","32,577","4,981","37,558","16,833","20,725","11,525","5,632","25,623","24,400","30,498","29,541","17,775","17,046","11,448","8,443","30,374","15,308","61,424","10,237","213,286","7,533","41,822","20,731","21,252","9,662","20,570","11,069"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","63.0%","4.6%","17.2%","19.1%","22.1%","27.6%","4.2%","31.8%","28.6%","34.9%","(X)","48.9%","(X)","95.2%","(X)","96.9%","(X)","95.9%","(X)","73.8%","(X)","50.4%","(X)","16.7%","(X)","3.5%","(X)","49.6%","(X)","45.5%","(X)","53.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,482","69,910","5,015","18,610","21,481","24,804","28,153","2,943","31,096","14,042","17,054","(X)","4,258","(X)","22,250","(X)","27,977","(X)","16,306","(X)","7,758","(X)","13,473","(X)","8,173","(X)","5,293","(X)","18,406","(X)","8,534","(X)","9,872"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.3%","73.2%","93.9%","92.9%","91.7%","95.0%","94.9%","86.4%","59.1%","82.8%","83.4%","82.3%","(X)","75.6%","(X)","91.2%","(X)","94.7%","(X)","95.7%","(X)","91.9%","(X)","88.0%","(X)","79.8%","(X)","70.3%","(X)","88.8%","(X)","88.3%","(X)","89.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,642","4,548","384","1,681","1,141","1,342","4,424","2,038","6,462","2,791","3,671","(X)","1,374","(X)","2,150","(X)","1,564","(X)","740","(X)","685","(X)","1,835","(X)","2,064","(X)","2,240","(X)","2,325","(X)","1,128","(X)","1,197"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.7%","26.8%","6.1%","7.1%","8.3%","5.0%","5.1%","13.6%","40.9%","17.2%","16.6%","17.7%","(X)","24.4%","(X)","8.8%","(X)","5.3%","(X)","4.3%","(X)","8.1%","(X)","12.0%","(X)","20.2%","(X)","29.7%","(X)","11.2%","(X)","11.7%","(X)","10.8%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","262,449","14,505","153,007","11,774","41,781","46,974","52,478","80,980","13,957","94,937","42,575","52,362","24,174","12,711","53,623","51,530","60,492","59,246","37,465","36,550","30,728","24,998","72,942","39,919","133,669","23,164","505,946","14,331","103,670","58,210","52,220","26,641","51,450","31,569"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.5%","58.3%","4.5%","15.9%","17.9%","20.0%","30.9%","5.3%","36.2%","33.3%","38.9%","(X)","52.6%","(X)","96.1%","(X)","97.9%","(X)","97.6%","(X)","81.4%","(X)","54.7%","(X)","17.3%","(X)","2.8%","(X)","56.1%","(X)","51.0%","(X)","61.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9,217","143,161","10,531","39,349","43,796","49,485","62,633","6,071","68,704","31,724","36,980","(X)","7,875","(X)","47,588","(X)","55,522","(X)","34,324","(X)","19,904","(X)","29,118","(X)","16,902","(X)","9,849","(X)","42,644","(X)","20,225","(X)","22,419"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.2%","63.5%","93.6%","89.4%","94.2%","93.2%","94.3%","77.3%","43.5%","72.4%","74.5%","70.6%","(X)","62.0%","(X)","92.4%","(X)","93.7%","(X)","93.9%","(X)","79.6%","(X)","72.9%","(X)","73.0%","(X)","68.7%","(X)","73.3%","(X)","75.9%","(X)","71.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,288","9,846","1,243","2,432","3,178","2,993","18,347","7,886","26,233","10,851","15,382","(X)","4,836","(X)","3,942","(X)","3,724","(X)","2,226","(X)","5,094","(X)","10,801","(X)","6,262","(X)","4,482","(X)","15,566","(X)","6,416","(X)","9,150"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.8%","36.5%","6.4%","10.6%","5.8%","6.8%","5.7%","22.7%","56.5%","27.6%","25.5%","29.4%","(X)","38.0%","(X)","7.6%","(X)","6.3%","(X)","6.1%","(X)","20.4%","(X)","27.1%","(X)","27.0%","(X)","31.3%","(X)","26.7%","(X)","24.1%","(X)","29.0%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","102,808","6,412","66,324","5,633","20,467","19,232","20,992","25,747","4,325","30,072","12,592","17,480","10,707","5,563","26,254","25,354","25,010","24,321","14,267","13,766","8,825","6,703","26,027","11,069","60,524","8,908","189,747","7,124","34,852","15,179","17,649","6,854","17,203","8,325"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","64.5%","5.5%","19.9%","18.7%","20.4%","25.0%","4.2%","29.3%","25.2%","33.0%","(X)","52.0%","(X)","96.6%","(X)","97.2%","(X)","96.5%","(X)","76.0%","(X)","42.5%","(X)","14.7%","(X)","3.8%","(X)","43.6%","(X)","38.8%","(X)","48.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,071","61,424","4,961","19,128","18,067","19,268","22,709","2,297","25,006","10,551","14,455","(X)","4,349","(X)","23,269","(X)","22,627","(X)","12,750","(X)","6,268","(X)","9,991","(X)","6,942","(X)","5,305","(X)","13,857","(X)","6,312","(X)","7,545"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.0%","79.1%","92.6%","88.1%","93.5%","93.9%","91.8%","88.2%","53.1%","83.2%","83.8%","82.7%","(X)","78.2%","(X)","91.8%","(X)","93.0%","(X)","92.6%","(X)","93.5%","(X)","90.3%","(X)","77.9%","(X)","74.5%","(X)","91.3%","(X)","92.1%","(X)","90.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,341","4,900","672","1,339","1,165","1,724","3,038","2,028","5,066","2,041","3,025","(X)","1,214","(X)","2,085","(X)","1,694","(X)","1,016","(X)","435","(X)","1,078","(X)","1,966","(X)","1,819","(X)","1,322","(X)","542","(X)","780"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.0%","20.9%","7.4%","11.9%","6.5%","6.1%","8.2%","11.8%","46.9%","16.8%","16.2%","17.3%","(X)","21.8%","(X)","8.2%","(X)","7.0%","(X)","7.4%","(X)","6.5%","(X)","9.7%","(X)","22.1%","(X)","25.5%","(X)","8.7%","(X)","7.9%","(X)","9.4%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154,567","9,163","89,788","7,473","26,183","27,755","28,377","47,089","8,527","55,616","25,391","30,225","15,712","7,958","34,373","32,250","35,478","34,641","20,859","20,100","14,969","11,635","43,076","22,294","97,149","16,315","290,863","9,374","58,045","30,485","29,197","14,200","28,848","16,285"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","58.1%","4.8%","16.9%","18.0%","18.4%","30.5%","5.5%","36.0%","33.1%","38.8%","(X)","50.6%","(X)","93.8%","(X)","97.6%","(X)","96.4%","(X)","77.7%","(X)","51.8%","(X)","16.8%","(X)","3.2%","(X)","52.5%","(X)","48.6%","(X)","56.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,364","84,274","6,755","24,386","26,082","27,051","42,466","5,658","48,124","22,549","25,575","(X)","5,483","(X)","29,583","(X)","32,625","(X)","19,188","(X)","10,750","(X)","20,594","(X)","13,288","(X)","7,251","(X)","28,081","(X)","13,146","(X)","14,935"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.8%","69.5%","93.9%","90.4%","93.1%","94.0%","95.3%","90.2%","66.4%","86.5%","88.8%","84.6%","(X)","68.9%","(X)","91.7%","(X)","94.2%","(X)","95.5%","(X)","92.4%","(X)","92.4%","(X)","81.4%","(X)","77.4%","(X)","92.1%","(X)","92.6%","(X)","91.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,799","5,514","718","1,797","1,673","1,326","4,623","2,869","7,492","2,842","4,650","(X)","2,475","(X)","2,667","(X)","2,016","(X)","912","(X)","885","(X)","1,700","(X)","3,027","(X)","2,123","(X)","2,404","(X)","1,054","(X)","1,350"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.2%","30.5%","6.1%","9.6%","6.9%","6.0%","4.7%","9.8%","33.6%","13.5%","11.2%","15.4%","(X)","31.1%","(X)","8.3%","(X)","5.8%","(X)","4.5%","(X)","7.6%","(X)","7.6%","(X)","18.6%","(X)","22.6%","(X)","7.9%","(X)","7.4%","(X)","8.3%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","655,172","41,423","374,445","29,906","111,597","113,527","119,415","188,563","50,741","239,304","108,863","130,441","61,425","35,578","142,878","138,353","143,302","140,653","84,289","81,667","71,865","58,337","204,888","99,062","502,915","65,392","1,301,267","36,130","276,753","140,608","138,138","64,334","138,615","76,274"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.3%","57.2%","4.6%","17.0%","17.3%","18.2%","28.8%","7.7%","36.5%","34.0%","39.0%","(X)","57.9%","(X)","96.8%","(X)","98.2%","(X)","96.9%","(X)","81.2%","(X)","48.3%","(X)","13.0%","(X)","2.8%","(X)","50.8%","(X)","46.6%","(X)","55.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25,470","333,074","26,678","99,790","100,404","106,202","145,124","24,489","169,613","76,884","92,729","(X)","21,735","(X)","122,743","(X)","124,350","(X)","71,943","(X)","44,792","(X)","71,719","(X)","45,593","(X)","25,282","(X)","101,636","(X)","46,755","(X)","54,881"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.6%","61.5%","89.0%","89.2%","89.4%","88.4%","88.9%","77.0%","48.3%","70.9%","70.6%","71.1%","(X)","61.1%","(X)","88.7%","(X)","88.4%","(X)","88.1%","(X)","76.8%","(X)","72.4%","(X)","69.7%","(X)","70.0%","(X)","72.3%","(X)","72.7%","(X)","72.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,953","41,371","3,228","11,807","13,123","13,213","43,439","26,252","69,691","31,979","37,712","(X)","13,843","(X)","15,610","(X)","16,303","(X)","9,724","(X)","13,545","(X)","27,343","(X)","19,799","(X)","10,848","(X)","38,972","(X)","17,579","(X)","21,393"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.4%","38.5%","11.0%","10.8%","10.6%","11.6%","11.1%","23.0%","51.7%","29.1%","29.4%","28.9%","(X)","38.9%","(X)","11.3%","(X)","11.6%","(X)","11.9%","(X)","23.2%","(X)","27.6%","(X)","30.3%","(X)","30.0%","(X)","27.7%","(X)","27.3%","(X)","28.0%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,624","4,894","49,182","3,484","13,863","15,166","16,669","17,878","3,670","21,548","10,696","10,852","7,049","4,102","17,869","17,257","18,835","18,641","11,835","11,627","6,827","5,604","16,357","8,442","33,412","5,581","135,320","4,370","23,184","12,069","13,008","6,300","10,176","5,769"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","65.0%","4.6%","18.3%","20.1%","22.0%","23.6%","4.9%","28.5%","27.5%","29.6%","(X)","58.2%","(X)","96.6%","(X)","99.0%","(X)","98.2%","(X)","82.1%","(X)","51.6%","(X)","16.7%","(X)","3.2%","(X)","52.1%","(X)","48.4%","(X)","56.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,437","45,453","3,202","12,486","14,130","15,635","14,043","1,707","15,750","8,116","7,634","(X)","1,984","(X)","15,343","(X)","17,350","(X)","10,920","(X)","4,598","(X)","6,571","(X)","4,107","(X)","2,767","(X)","9,329","(X)","5,020","(X)","4,309"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.2%","49.8%","92.4%","91.9%","90.1%","93.2%","93.8%","78.5%","46.5%","73.1%","75.9%","70.3%","(X)","48.4%","(X)","88.9%","(X)","93.1%","(X)","93.9%","(X)","82.0%","(X)","77.8%","(X)","73.6%","(X)","63.3%","(X)","77.3%","(X)","79.7%","(X)","74.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,457","3,729","282","1,377","1,036","1,034","3,835","1,963","5,798","2,580","3,218","(X)","2,118","(X)","1,914","(X)","1,291","(X)","707","(X)","1,006","(X)","1,871","(X)","1,474","(X)","1,603","(X)","2,740","(X)","1,280","(X)","1,460"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.8%","50.2%","7.6%","8.1%","9.9%","6.8%","6.2%","21.5%","53.5%","26.9%","24.1%","29.7%","(X)","51.6%","(X)","11.1%","(X)","6.9%","(X)","6.1%","(X)","18.0%","(X)","22.2%","(X)","26.4%","(X)","36.7%","(X)","22.7%","(X)","20.3%","(X)","25.3%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
